Fold,R2,RMSE,MAE
1,0.126704,0.948771,0.702670
2,0.047926,1.132606,0.806377
3,0.024505,0.981048,0.765322
4,0.366673,1.010416,0.761040
5,-1461023356793.605225,1468182.044262,114997.637631
6,0.294329,0.957093,0.694723
7,-7526128908134.565430,3303590.771238,272302.415723
8,0.501195,0.832455,0.643799
9,-0.379169,1.233033,0.804520
10,-750474136455.538696,1065152.116498,83686.912754
