SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),来源,Young's Modulus (kPa)
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,2.0,,
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,,9.8,,
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(CCC([*])=O)C(O)=O,,,2.0,,
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,,0.45,,
[*]OCC[*],[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,,,1.9,,
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,17.6,,
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,,,7.5,,
[*]CC(C)(C(OCCO)=O)[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,0.63,,
O=C(N)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,1.51,,
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,,5.45,,
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,[*]C(C(CCCCN[*])N)=O,,,9.0,,
[*]C([H])([H])C(O)([H])[*],OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,,,3.1,,
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],,,30.0,,
[*]OCC[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,1.1,,
[*]OCC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,17.47,,
