idx,y_pred,y_true,residual
0,5.004601,5.698970,-0.694369
1,4.187790,3.049218,1.138572
4,5.413971,3.908485,1.505486
7,5.261011,4.086360,1.174651
8,5.327490,6.035710,-0.708220
9,5.113466,5.954243,-0.840776
10,5.549727,3.949390,1.600337
11,4.513916,5.742725,-1.228809
13,4.914399,3.505150,1.409249
14,4.514207,5.094820,-0.580614
15,4.873720,3.397940,1.475780
16,5.172328,3.832509,1.339819
17,5.605066,5.602060,0.003006
18,4.316197,5.238046,-0.921849
19,4.004052,3.079181,0.924871
20,3.527211,3.823474,-0.296264
21,4.340881,3.838849,0.502032
22,4.346297,3.505150,0.841147
23,4.851514,6.041393,-1.189879
26,6.793427,6.823539,-0.030112
28,6.403966,6.707570,-0.303604
29,6.739643,6.397940,0.341703
30,5.642173,6.558709,-0.916536
31,5.642155,6.107549,-0.465395
32,5.574796,4.193681,1.381115
33,6.301338,5.929419,0.371919
34,6.185786,6.531479,-0.345693
35,6.317566,6.414973,-0.097407
36,6.074187,6.372912,-0.298725
37,6.381868,6.384891,-0.003023
38,5.892665,6.325844,-0.433179
40,6.699082,6.875061,-0.175979
41,6.851201,6.835056,0.016145
42,6.697396,7.079181,-0.381785
43,5.349718,4.072985,1.276734
44,5.272675,5.113943,0.158732
46,5.083161,5.342423,-0.259261
48,4.322479,5.278754,-0.956275
49,5.980089,6.255273,-0.275183
50,5.441184,5.023541,0.417643
51,5.820821,6.313867,-0.493046
52,6.141327,6.361728,-0.220401
53,6.201703,6.602060,-0.400357
54,5.883015,6.649335,-0.766320
56,5.454627,5.901295,-0.446668
57,5.296503,6.447158,-1.150655
58,5.855109,4.681241,1.173868
59,5.956571,5.815046,0.141525
60,5.267193,4.992819,0.274374
61,4.133442,3.204120,0.929322
62,6.041538,6.875061,-0.833524
63,6.635211,6.890980,-0.255768
64,6.223889,6.000000,0.223889
65,5.035671,4.500374,0.535298
67,6.187893,6.447158,-0.259265
68,5.481456,7.267172,-1.785715
69,6.007045,5.045714,0.961331
70,6.199679,6.230449,-0.030770
71,4.141106,4.127105,0.014001
73,6.491189,5.715167,0.776021
74,6.028489,6.024046,0.004443
75,2.574468,3.645422,-1.070954
76,4.178127,3.146128,1.031999
77,2.574431,2.875061,-0.300630
78,3.693154,3.301030,0.392124
79,4.072791,3.313867,0.758924
80,4.453692,5.905796,-1.452104
81,4.210313,2.698970,1.511343
82,3.548528,4.146128,-0.597600
83,3.663187,3.243038,0.420149
84,3.863208,2.653213,1.209995
86,4.066438,3.778151,0.288287
87,4.066419,3.301030,0.765389
88,4.293545,3.000000,1.293545
89,4.431364,4.431364,0.000000
90,4.063749,4.423246,-0.359497
91,4.475878,4.431364,0.044514
92,4.295071,5.544068,-1.248997
93,4.348179,3.000000,1.348179
94,4.439882,3.158362,1.281520
95,3.791762,2.740363,1.051399
96,3.733427,3.623249,0.110178
97,5.889322,5.375093,0.514230
98,6.328508,6.361728,-0.033220
99,5.979175,6.409933,-0.430758
100,6.792529,6.477121,0.315407
101,6.263841,7.021189,-0.757348
102,5.350344,3.413300,1.937044
103,5.208903,4.260071,0.948832
104,6.147411,6.000000,0.147411
105,5.938381,6.740363,-0.801982
107,6.250842,6.431364,-0.180522
108,5.721647,4.646404,1.075243
109,6.184934,6.142702,0.042232
110,5.704893,6.431364,-0.726471
111,6.247653,6.192584,0.055069
112,6.035599,6.238046,-0.202447
113,6.050323,6.950851,-0.900529
114,6.094873,4.819544,1.275329
115,5.650204,4.716504,0.933699
116,6.110663,6.612784,-0.502121
117,5.963136,5.716003,0.247133
118,6.062578,6.397940,-0.335362
119,5.560245,6.077259,-0.517013
121,5.190743,5.009026,0.181717
122,5.363531,5.373831,-0.010300
123,5.867174,6.477121,-0.609947
124,5.764014,4.862251,0.901763
125,6.138394,6.466868,-0.328473
126,6.241161,5.188084,1.053077
127,6.134993,6.079181,0.055811
128,5.710810,6.146128,-0.435318
129,5.865402,5.326336,0.539067
130,5.723262,6.768638,-1.045376
131,5.950387,5.485721,0.464666
132,6.045598,5.507073,0.538525
133,5.138638,5.083610,0.055028
134,6.125047,6.156852,-0.031805
135,6.544006,5.676694,0.867313
137,6.523745,6.301030,0.222715
140,5.709725,6.079181,-0.369456
141,5.183334,4.396199,0.787134
142,5.972807,6.147058,-0.174251
143,6.110169,5.195457,0.914712
144,6.096597,5.643551,0.453045
145,5.448476,6.016197,-0.567721
146,6.253474,6.079181,0.174292
147,5.897183,6.146128,-0.248945
148,5.390105,6.000000,-0.609895
149,4.100996,4.113943,-0.012947
150,6.335938,6.577492,-0.241554
151,6.746993,5.472756,1.274237
152,6.317646,6.334454,-0.016808
153,6.391807,7.276921,-0.885114
154,4.811632,4.819544,-0.007912
155,6.972969,7.483587,-0.510618
156,7.694766,8.041393,-0.346627
157,7.220815,7.477121,-0.256306
158,7.143837,6.479394,0.664443
159,7.446828,7.477121,-0.030293
160,6.637355,6.320146,0.317209
161,6.482663,6.397940,0.084723
162,6.208776,6.113943,0.094832
163,6.637300,6.201397,0.435903
164,6.624392,6.986772,-0.362379
165,6.484359,6.474216,0.010143
166,6.336832,6.004136,0.332696
168,6.240943,6.434888,-0.193945
169,6.917977,8.122544,-1.204567
170,6.325866,6.281033,0.044832
172,5.764258,6.518514,-0.754256
173,6.467498,6.556423,-0.088925
174,6.399385,6.348305,0.051080
175,-0.273030,1.954243,-2.227273
176,2.193727,2.602060,-0.408333
177,2.268510,1.301030,0.967480
178,2.127069,1.954918,0.172152
179,2.953911,2.000000,0.953911
180,2.779121,2.146128,0.632993
181,2.412620,3.164353,-0.751733
182,2.968598,1.390935,1.577663
183,2.789683,2.955207,-0.165523
184,3.028956,3.562293,-0.533336
185,2.682435,1.926857,0.755579
186,3.533876,1.146128,2.387748
187,3.159583,2.851258,0.308325
188,2.704981,2.000000,0.704981
189,3.710909,3.539452,0.171457
190,2.783824,1.380211,1.403613
191,2.551668,2.273233,0.278435
192,1.862997,2.579784,-0.716786
194,4.809776,6.079181,-1.269406
195,5.438533,5.023952,0.414582
196,4.809739,6.232234,-1.422495
197,4.823273,3.247973,1.575300
198,5.189358,6.302547,-1.113190
199,5.509864,4.598572,0.911292
200,4.807548,4.812913,-0.005365
201,4.858729,3.562293,1.296436
202,5.570204,6.806180,-1.235976
203,4.823164,5.782473,-0.959309
204,5.463488,6.054958,-0.591469
205,5.766209,6.151247,-0.385038
206,5.505358,3.903633,1.601726
207,4.404300,6.501059,-2.096760
208,5.374474,4.892762,0.481712
209,7.091893,7.068186,0.023707
210,4.850085,3.480007,1.370078
212,5.325601,5.000000,0.325601
214,3.549246,5.445604,-1.896358
216,2.932528,2.400538,0.531990
217,4.508679,3.000000,1.508679
218,4.816457,3.653213,1.163244
219,4.681794,5.000000,-0.318206
220,5.454767,5.149219,0.305548
221,3.360318,4.101747,-0.741429
223,5.709363,6.361728,-0.652365
225,6.472086,6.176091,0.295995
226,6.387258,6.113943,0.273315
228,6.159125,6.544068,-0.384943
229,6.164454,5.993877,0.170577
230,6.230571,6.544068,-0.313497
231,6.002774,6.187521,-0.184747
233,6.403269,6.100371,0.302899
234,4.956462,5.806180,-0.849718
235,5.902103,5.093422,0.808681
236,4.832682,3.963788,0.868894
237,5.574104,6.075145,-0.501041
238,7.078495,7.146128,-0.067633
239,4.755065,4.792392,-0.037326
240,6.548459,6.863323,-0.314864
241,6.234796,6.531479,-0.296683
243,5.829291,5.315970,0.513320
244,6.090901,6.266114,-0.175213
245,3.520093,3.397940,0.122153
246,6.144815,6.109916,0.034899
247,6.434580,6.539076,-0.104497
248,6.279742,6.342817,-0.063075
249,3.064297,2.079181,0.985116
250,5.605855,5.202352,0.403503
251,6.355235,6.409764,-0.054529
252,6.318198,6.477121,-0.158923
253,6.402904,6.137927,0.264977
254,6.402885,6.450711,-0.047826
255,6.200252,6.604226,-0.403974
257,6.647680,6.278754,0.368927
259,5.953050,4.342423,1.610628
261,6.116320,6.301969,-0.185649
262,6.706065,6.903090,-0.197025
263,5.929435,5.983175,-0.053740
264,6.590612,6.587711,0.002901
265,6.590594,6.584331,0.006262
266,5.289762,5.229426,0.060336
267,5.982897,6.136721,-0.153824
268,6.366101,5.000000,1.366101
269,6.421542,6.531479,-0.109937
270,5.704278,4.292256,1.412022
271,6.350220,6.371068,-0.020848
274,6.894167,6.894106,0.000061
275,6.174197,6.477121,-0.302924
276,5.734728,6.530840,-0.796112
277,6.679038,6.397940,0.281098
278,5.673864,5.681241,-0.007378
279,6.590338,6.173186,0.417151
280,6.113962,6.591065,-0.477103
281,7.485313,7.074451,0.410862
282,6.141551,6.486487,-0.344936
283,6.504601,6.505150,-0.000549
284,5.668822,5.549003,0.119819
285,6.211526,6.190332,0.021195
286,6.482355,6.196729,0.285626
287,4.978152,4.968483,0.009669
288,6.078890,6.568202,-0.489312
