feature,importance
fp_140,0.043471962990607814
fp_997,0.02134984097635832
fp_545,0.01150389260384647
fp_22,0.011467971030240923
fp_734,0.010832226022229921
fp_929,0.01028797150432037
fp_849,0.009025067593133559
fp_273,0.008910089194735496
fp_269,0.008396366559999017
fp_726,0.006164584430139564
fp_197,0.005015268005329328
fp_978,0.004966811445926071
fp_188,0.004598454555026388
fp_461,0.0045536754274258335
fp_356,0.004522016492641427
fp_510,0.004394065691928943
fp_852,0.004264046110862026
fp_645,0.0042381708482565434
fp_745,0.004163013933242439
fp_623,0.003919905613811762
fp_247,0.0029649561877350683
fp_242,0.0024347959389455776
fp_156,0.0023892260722418643
fp_722,0.0022782802877092667
fp_93,0.0022424213320255313
fp_960,0.00211075564773322
fp_650,0.0019019312538020767
fp_147,0.0018761787683768683
fp_483,0.0017815663155685835
fp_634,0.0017310822559500894
fp_893,0.001659226327187883
fp_226,0.0016470822399309675
fp_440,0.0015756912639663945
fp_13,0.0015580857627660964
fp_731,0.0015110344455964893
fp_186,0.001394853869204719
fp_707,0.0013862996456223131
fp_74,0.0012997943987251848
fp_1022,0.0012660095968698808
fp_439,0.0012089974554565508
fp_342,0.0011636945005367716
fp_128,0.0011219986964136064
fp_700,0.0010911909743135013
fp_155,0.0010546391573543386
fp_266,0.001040453022158494
fp_590,0.0010403164847515949
fp_695,0.0010189302390221089
fp_753,0.0010125297071208461
fp_264,0.0009633405904136602
fp_658,0.0009432645286538607
fp_288,0.0009121673827088653
fp_887,0.0009067638088488353
fp_202,0.0009056795148346675
fp_102,0.0008971195619775033
fp_446,0.000843891891425456
fp_355,0.000831314555296947
fp_1017,0.0008299753177540836
fp_191,0.0008036145153772859
fp_432,0.0008026866445474493
fp_760,0.0007884388002606935
fp_597,0.0007685890323863761
fp_940,0.0006860999400596368
fp_368,0.000658707970595788
fp_486,0.0006509902928124589
fp_235,0.0006065460462585381
fp_935,0.0006006243318890103
fp_378,0.0005963105890015216
fp_304,0.0005813061467279853
fp_614,0.0005781591110556686
fp_686,0.0005697126002674283
fp_746,0.0005624738151755274
fp_351,0.0005285095255630109
fp_428,0.0005057105542826493
fp_585,0.0004993021473326253
fp_712,0.0004988943532459414
fp_487,0.0004883876382714147
fp_275,0.00048296918493491897
fp_454,0.00046620043257698346
fp_1014,0.0004598620941415055
fp_931,0.000439141701646754
fp_4,0.00042469137149869773
fp_765,0.00042413466402531813
fp_525,0.0004167436791867966
fp_719,0.0004160095186698613
fp_17,0.00040976563556327505
fp_655,0.00040727152636950886
fp_493,0.00040431879260131404
fp_468,0.0003922054618359372
fp_193,0.0003835155940028849
fp_755,0.00037669970385371493
fp_429,0.00037497244086426296
fp_508,0.00036506807516364
fp_172,0.0003561985632934972
fp_243,0.000349902463123386
fp_29,0.00034864658203674165
fp_969,0.0003446568927228573
fp_271,0.00033358480772586557
fp_381,0.00033320286657145815
fp_615,0.00032918638445178505
fp_412,0.00032773272231823025
fp_117,0.0003230169507317064
fp_532,0.00031633040809808666
fp_159,0.00030819124491032746
fp_667,0.000298720323643827
fp_456,0.0002907048155376124
fp_807,0.0002883101694131085
fp_473,0.00028396546306319603
fp_326,0.00028317490207644774
fp_350,0.0002776428686188659
fp_345,0.00027743747612685166
fp_573,0.0002760605901468427
fp_458,0.0002754796410989746
fp_421,0.0002719370723318996
fp_721,0.0002694991460337655
fp_494,0.0002634503415415157
fp_323,0.0002614835877077966
fp_518,0.00025901438601690546
fp_53,0.00023914353971103233
fp_354,0.00023619256527177926
fp_240,0.000231055848345596
fp_710,0.00022791788044962402
fp_451,0.00022549200957215168
fp_531,0.00022467002839258546
fp_957,0.0002214110114171497
fp_255,0.00022034612560091946
fp_105,0.00021541534194798503
fp_292,0.00021320309981809338
fp_979,0.00021046138402924797
fp_332,0.00020017473258874632
fp_998,0.00019735512812283731
fp_983,0.00019088548466827948
fp_234,0.00018964390603951978
fp_118,0.00018903927618341143
fp_687,0.00018830497669612237
fp_361,0.00018802248140004085
fp_210,0.00018589148823959048
fp_369,0.00017965338161944158
fp_877,0.00016889227119569009
fp_112,0.00016827135101131022
fp_488,0.00016702135375290528
fp_507,0.0001566364827045863
fp_830,0.00015562085362371322
fp_814,0.00015210961970753742
fp_84,0.00014422560242122184
fp_715,0.00014374368436579724
fp_168,0.00014114042949997518
fp_495,0.00013730185270843798
fp_274,0.00013730000306881132
fp_145,0.0001367212269447471
fp_781,0.00013035124213130653
fp_469,0.0001283884929975665
fp_173,0.0001282695556695431
fp_584,0.00012614846497220147
fp_763,0.0001258358621848791
fp_632,0.000124583330656051
fp_638,0.0001215506971351162
fp_933,0.00011969714530883173
fp_37,0.00011897410743277881
fp_248,0.00011870260889409086
fp_36,0.00011765170608224462
fp_441,0.00011724893679210258
fp_782,0.00011694459143692566
fp_858,0.0001158894736392746
fp_786,0.00011375630695091103
fp_539,0.00011244932316885799
fp_521,0.00011206457397609319
fp_857,0.00011067408911809758
fp_41,0.00010062644452387322
fp_497,9.865288024616763e-05
fp_423,9.745109420966624e-05
fp_592,9.587357012819098e-05
fp_548,9.375234410243423e-05
fp_926,9.336374556131084e-05
fp_964,9.07740523117262e-05
fp_981,8.747535109110416e-05
fp_314,8.68887976779309e-05
fp_256,8.49293441273306e-05
fp_78,8.423200398140669e-05
fp_675,8.328455906488526e-05
fp_80,8.283846760252327e-05
fp_739,7.996374998764377e-05
fp_143,7.981333440809646e-05
fp_541,7.923807441900799e-05
fp_720,7.877506261377842e-05
fp_757,7.821467834963809e-05
fp_296,7.76225550113141e-05
fp_268,7.752870628903914e-05
fp_203,7.554330694118742e-05
fp_57,7.261541729164378e-05
fp_167,7.257573704777531e-05
fp_580,7.047157179011314e-05
fp_736,6.975364141537099e-05
fp_1009,6.753274159232436e-05
fp_742,6.573321149587012e-05
