idx,y_pred,y_true,residual,fold
0,4.107289149183998,5.698970004336019,1.5916808551520205,1
1,4.139083049921955,5.698970004336019,1.5598869544140639,10
2,4.400491022049809,5.698970004336019,1.29847898228621,9
3,4.1448314956725785,5.698970004336019,1.5541385086634403,8
4,3.7391896395463213,5.698970004336019,1.9597803647896974,7
5,4.094658166280855,5.698970004336019,1.604311838055164,5
6,4.793639106824062,5.698970004336019,0.9053308975119565,4
7,4.0807844357109335,5.698970004336019,1.6181855686250852,3
8,3.9728763174354724,5.698970004336019,1.7260936869005463,2
9,3.615631969610923,3.049218022670181,-0.5664139469407421,10
10,3.6503247016824893,3.049218022670181,-0.6011066790123083,8
11,3.630501966471525,3.049218022670181,-0.5812839438013437,7
12,4.314925379395919,3.049218022670181,-1.2657073567257378,5
13,3.639362409505293,3.049218022670181,-0.590144386835112,4
14,3.673142526308894,3.049218022670181,-0.6239245036387131,3
15,3.6623454010857706,3.049218022670181,-0.6131273784155895,2
16,3.6822182692391148,3.049218022670181,-0.6330002465689337,6
17,3.6078276483804945,3.049218022670181,-0.5586096257103135,1
18,3.630501966471525,2.903089986991944,-0.7274119794795806,7
19,3.6078276483804945,2.903089986991944,-0.7047376613885503,1
20,3.615631969610923,2.903089986991944,-0.7125419826189789,10
21,3.6503247016824893,2.903089986991944,-0.7472347146905451,8
22,3.639362409505293,2.903089986991944,-0.7362724225133488,4
23,3.884539142344892,2.903089986991944,-0.9814491553529479,9
24,3.673142526308894,2.903089986991944,-0.77005253931695,3
25,3.6822182692391148,2.903089986991944,-0.7791282822471706,6
26,3.6623454010857706,2.903089986991944,-0.7592554140938264,2
27,4.169731409271824,2.9542425094393248,-1.2154888998324993,1
28,4.421509953415264,2.9542425094393248,-1.4672674439759397,8
29,4.387548448571491,2.9542425094393248,-1.433305939132166,6
30,4.413956475858928,2.9542425094393248,-1.4597139664196033,10
31,4.353695117012343,2.9542425094393248,-1.3994526075730183,9
32,4.3079851824433675,2.9542425094393248,-1.3537426730040427,2
33,4.388398015826238,2.9542425094393248,-1.434155506386913,3
34,4.293774474003794,2.9542425094393248,-1.3395319645644697,7
35,4.327478903952287,2.9542425094393248,-1.3732363945129626,4
36,5.008866905179789,3.90848501887865,-1.1003818863011392,9
37,4.909973896251244,3.90848501887865,-1.0014888773725938,3
38,4.868712378075643,3.90848501887865,-0.9602273591969932,7
39,4.934039490600624,3.90848501887865,-1.0255544717219744,5
40,4.931579978827525,3.90848501887865,-1.023094959948875,2
