SMILES,count
[*]CC(C1=CC=CC=C1)C/C=C/C[*],7
[*]CCC1C([*])C2CCC1C2,7
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,7
[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O,7
[*]OC1=C(C([*])=CC=C1C)C,7
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,6
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,6
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,6
[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1,6
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],6
[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,6
O=C([*])CCCCCO[*],6
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,6
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,6
OC1C(OC(C(C1O)O)[*])CO[*],6
[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,6
[*]C(OCCCO[*])=O,6
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,6
CC(C=C([*])C=C1C)=C1O[*],6
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,6
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,5
[*]NC(CCC([*])=O)C(O)=O,5
[*]C1=C(C(C[*])=CC=C1)O,5
[*]C1=C2C(OCCO2)=C([*])S1,5
[*]CCCCO[*],5
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],5
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],5
CCCCCCC1=C(SC([*])=C1)[*],5
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,5
[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,4
[*]CNCC1=CC=CC([*])=C1O,4
COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],4
[*]CC([*])CC,4
CC(CO[*])[*],4
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,4
O=C([*])CCCCC(NCCCCN[*])=O,4
OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O,4
[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,4
[*]C/C=C\CCC(C=C)[*],3
[*]C(C(OC(CO[*])=O)C)=O,3
[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,3
[*]CC(C(CCC)=O)([*])C,3
[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO,3
O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,3
[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,3
[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O,2
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,2
[*]CCCC(C(O)=O)[*],2
O=C(N([*])C([*])=O)CC=C,2
[*]C/C=C/CCC(C/C=C\C[*])C=C,2
[*]C(C)(C(OCCN(C)C)=O)C[*],2
O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],2
OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,2
[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,2
[*]CC(O[*])CN=[N+]=[N-],2
[*]CCCC[*],1
OC(C(OC(C1O)CO)C[*])C1O[*],1
OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O,1
OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O,1
[*]CC1=CC=C(C(Cl)=C1)C[*],1
OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O,1
[*]C(N[*])=O,1
OC(C([*])C[*])=O,1
CC(O[*])CC([*])=O,1
[*]CC(CC([*])C(O)=O)C(NC(C)C)=O,1
[*]C(C(CCCC[NH3+])N[*])=O,1
[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*],1
[*]C(C(OC(O[*])C=O)CO)C=O,1
[*]C(C(CCCCN[*])N)=O,1
[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O,1
O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*],1
CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O,1
