idx,y_pred,y_true,residual
0,5.129314,5.698970,-0.569656
1,3.895791,3.049218,0.846573
2,3.895785,2.903090,0.992695
3,4.952096,2.954243,1.997853
4,5.259647,3.908485,1.351162
5,4.607997,3.322219,1.285777
6,4.901618,5.301030,-0.399412
7,5.107602,4.086360,1.021242
8,5.114158,6.035710,-0.921552
9,4.998563,5.954243,-0.955680
10,5.507911,3.949390,1.558521
11,4.385851,5.742725,-1.356874
12,4.128298,3.661813,0.466485
13,4.804410,3.505150,1.299260
14,4.521644,5.094820,-0.573176
15,4.684219,3.397940,1.286279
16,4.954568,3.832509,1.122059
17,5.405924,5.602060,-0.196136
19,3.744504,3.079181,0.665322
20,3.703331,3.823474,-0.120143
21,4.316655,3.838849,0.477806
22,4.094355,3.505150,0.589205
23,4.767447,6.041393,-1.273946
24,5.074693,3.881385,1.193308
25,4.916417,5.576341,-0.659925
26,6.360247,6.823539,-0.463293
27,6.513917,6.397940,0.115977
28,6.307589,6.707570,-0.399981
29,6.683097,6.397940,0.285157
30,5.419039,6.558709,-1.139669
32,5.426076,4.193681,1.232395
33,6.289311,5.929419,0.359892
34,6.148765,6.531479,-0.382713
35,6.304290,6.414973,-0.110683
36,6.151029,6.372912,-0.221883
37,6.378125,6.384891,-0.006766
38,5.893516,6.325844,-0.432328
39,7.339301,7.000000,0.339301
40,6.526116,6.875061,-0.348945
41,6.696116,6.835056,-0.138940
42,6.833861,7.079181,-0.245320
43,5.317643,4.072985,1.244659
44,5.596520,5.113943,0.482577
45,4.069187,5.096910,-1.027723
46,5.218496,5.342423,-0.123927
47,6.008147,6.240549,-0.232402
48,4.274991,5.278754,-1.003762
49,5.986789,6.255273,-0.268484
50,5.303939,5.023541,0.280398
51,5.664036,6.313867,-0.649831
52,6.078637,6.361728,-0.283091
53,6.163642,6.602060,-0.438418
55,6.163630,6.041393,0.122237
56,5.441896,5.901295,-0.459398
57,5.184343,6.447158,-1.262815
59,5.939019,5.815046,0.123973
60,5.377785,4.992819,0.384967
61,4.010633,3.204120,0.806513
62,6.114855,6.875061,-0.760206
63,6.655659,6.890980,-0.235321
64,6.130769,6.000000,0.130769
65,4.904669,4.500374,0.404295
66,5.949311,6.397940,-0.448629
67,6.124845,6.447158,-0.322313
68,5.424186,7.267172,-1.842986
69,6.030394,5.045714,0.984680
70,6.238062,6.230449,0.007613
71,3.997599,4.127105,-0.129506
72,5.786956,6.000000,-0.213044
73,6.503613,5.715167,0.788446
74,6.197565,6.024046,0.173519
75,2.541678,3.645422,-1.103744
76,4.122837,3.146128,0.976709
77,2.541666,2.875061,-0.333395
78,3.570620,3.301030,0.269590
79,3.930717,3.313867,0.616850
80,4.430329,5.905796,-1.475467
