feature,importance
fp_33,0.032041785962936886
fp_664,0.03018071759857548
fp_227,0.02882608290601308
fp_695,0.028494630792060358
fp_1,0.028064135826993408
fp_969,0.024836340997108658
fp_147,0.02333152162734983
fp_170,0.023031569764122475
fp_645,0.02246876839457426
fp_650,0.021690686537980022
fp_247,0.020953206575905957
fp_80,0.019692550472288885
fp_893,0.019139381960901154
fp_863,0.017807718140622226
fp_807,0.017559923552649653
fp_458,0.016427711439735038
fp_93,0.01357356180350931
fp_931,0.012358838612306805
fp_172,0.011413201358520001
fp_886,0.011370004515341994
fp_222,0.009736429566667015
fp_983,0.009607285920471864
fp_389,0.009265803966471014
fp_926,0.00890087394712463
fp_270,0.008850209771379491
fp_119,0.008716745458983379
fp_829,0.008445547691158135
fp_726,0.007880009977994273
fp_1019,0.007878546820439213
fp_573,0.007854721216220172
fp_283,0.007706018946443891
fp_356,0.0076886564762393365
fp_540,0.007632570044573999
fp_785,0.0075663044624915575
fp_820,0.007506638541529579
fp_656,0.00743775874355802
fp_128,0.007358244895954211
fp_610,0.0072181312802682964
fp_322,0.007007806843975596
fp_849,0.0067857813097280326
fp_233,0.006689037217282636
fp_357,0.006561359205582203
fp_115,0.00642278504720215
fp_274,0.006364813652710519
fp_897,0.006129939564239873
fp_694,0.006043302994961722
fp_13,0.006006078185366168
fp_697,0.0059792060621534715
fp_243,0.005937677646012269
fp_264,0.005864713394488344
fp_623,0.00583870666667911
fp_848,0.005797784464772101
fp_722,0.005797119817763232
fp_869,0.0057550761624307785
fp_507,0.0057277852510996576
fp_740,0.005694643315318992
fp_53,0.005693688865069333
fp_680,0.005644935971928353
fp_739,0.005345427616334666
fp_416,0.005317591368023912
fp_4,0.005249860289904148
fp_576,0.005246320108626111
fp_319,0.004907455041914291
fp_463,0.004880030266598933
fp_299,0.004872897589216144
fp_117,0.004787078459934981
fp_202,0.004683858165648222
fp_183,0.004585054345338161
fp_208,0.004572370852360762
fp_41,0.004459350303272705
fp_564,0.004332047734100121
fp_197,0.004171114867005436
fp_852,0.004022927487980936
fp_392,0.003984116651223029
fp_295,0.003944065591711403
fp_957,0.0039048029892119265
fp_326,0.0038660881380742536
fp_225,0.003843949704685545
fp_143,0.0038172957113040066
fp_114,0.0037099330433150945
fp_453,0.003703672123030261
fp_443,0.0033869010533806075
fp_634,0.0033674813625135334
fp_452,0.003367068399873867
fp_527,0.0033121517243111273
fp_707,0.0032612308851986873
fp_489,0.0032387177196779833
fp_667,0.003058675231121406
fp_929,0.003003490536451542
fp_655,0.00298668309815152
fp_481,0.002975499408739093
fp_466,0.002779841989159521
fp_960,0.0027618064152232936
fp_953,0.002752857511902172
fp_532,0.0027459091065698046
fp_887,0.0026304294778509464
