SMILE A,SMILE B,SMILE C,Swelling Ratio (times),Source
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(CCCCCO[*])=O,,7.93,10.2147_ijn.s177256_part_2.txt_段1_Material1
[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,2.4011,10.4028_www.scientific.net_msf.982.59_part_1.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,0.9,10.1016_j.ijbiomac.2017.02.095_part_3.txt_段1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,,17,10.1016_j.foodhyd.2021.106956_part_1.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,15,10.1007_s10570-019-02357-5_10.1007_s10570-019-02357-5_part_1.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,0.061,10.1080_1539445x.2021.1926281_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,7.75,10.1007_s10570-014-0339-7_part_3.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,51.33,10.3109_03639045.2012.696655_part_2.txt_段1_Material1
[*]CC(C#N)[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,0.05,10.1002_app.45411_part_1.txt_段1_Material3
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,,0.95,10.1016_j.matchemphys.2017.03.051_part_5.txt_段1_Material1
O=C([*])C(C)O[*],,,7.638999999999999,10.1016_j.polymdegradstab.2019.05.024_part_4.txt_段1_Material1
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,15.56,10.1016_j.carbpol.2019.114977_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],C/C(C[*])=C/C[*],,3.5,10.1007_s10924-021-02258-4_part_2.txt_段1_Material1
[*]CC(C#N)[*],,,20,10.1002_app.47968_10.1002_app.47968_part_1.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,16,10.1080_1023666x.2020.1786271_part_2.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(C(O)=O)CCC([*])=O,,6.17,10.2174_156720112798376041_part_2.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,20,10.1007_s10570-015-0851-4_part_2.txt_段1_Material2
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,0.12,10.37349_ebmx.2025.101339_OA_part_3.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(C(C[*])[*])N,,0.01,10.1007_s10570-017-1585-2_10.1007_s10570-017-1585-2_part_4.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]OCC[*],,1.8142,10.1002_app.39611_part_2.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]OCC[*],,6.07,10.1016_j.reactfunctpolym.2019.104433_part_4.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,7,10.1021_acsapm.1c00447_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,0.1,10.1002_app.39417_part_1.txt_段1_Material1
[*]C(C)C(OCC(O[*])=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,15,10.1002_mabi.201000389_10.1002_mabi.201000389_part_2.txt_段1_Material1
O=C(O)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,0.24,10.1002_app.39417_part_1.txt_段1_Material2
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]CC([*])N1CCCC1=O,,0.84,10.1002_cplu.201800243_part_1.txt_段1_Material2
[*]CCN[*],,,0.204,10.1039_d0py00757a_part_1.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],C[Si](O[*])(C)[*],,0.1375,10.1007_s00289-018-2666-6_part_3.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(O)C([*])C[*],2.4,10.1007_s10570-021-04155-4_part_2.txt_段1_Material1
[*]CC([*])N1CCCC1=O,O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,,0.015,10.1016_j.jpowsour.2016.07.081_part_1.txt_段1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,1.47,10.1016_j.eurpolymj.2021.110296_part_2.txt_段1_Material2
[*]NC(C(O)=O)CCC([*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,0.408,10.1007_s12221-020-1364-9_part_1.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OCC[*],,8,10.1080_09205063.2020.1725861_part_4.txt_段1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]NC(C(O)=O)CCC([*])=O,,0.1928,10.1021_acsami.9b01200_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,0.9,10.3390_polym13121962_part_3.txt_段1_Material6
[*]CC([*])N1CCCC1=O,C[Si](O[*])(C)[*],,0.7,10.1002_app.42985_part_2.txt_段1_Material1
[*]C(C)C[*],[*]C(CCCCCO[*])=O,,3.9,10.1002_adfm.201500105_part_1.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,,18,10.1016_j.eurpolymj.2021.110411_part_2.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],O=C(C(C[*])[*])N,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,3.6,10.37358_mp.23.1.5649_OA_part_2.txt_段1_Material4
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,0.188,10.1007_s10570-010-9443-5_part_2.txt_段1_Material3
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,0.69,10.1016_j.ijbiomac.2020.06.283_part_3.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]CC([*])N1CCCC1=O,,3.408,10.1002_adv.20254_part_2.txt_段1_Material1
[*]CC=CCCC(C1=CC=CC=C1)[*],,,7.6323,10.1016_j.eurpolymj.2015.04.035_part_3.txt_段1_Material1
O=C(C(C[*])[*])N,O=C(C(C[*])[*])N,,26.6,10.1016_j.eurpolymj.2015.04.019_part_1.txt_段1_Material2
[*]CC(C)(C(OCCO)=O)[*],[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,,0.715,10.1002_app.41041_part_1.txt_段1_Material3
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,21.02,10.3390_polym12020372_part_2.txt_段1_Material4
[*]OCC[*],[*]C(CCCCCO[*])=O,,2.805,10.1016_j.jiec.2021.05.051_part_8.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,15,10.1080_09205063.2016.1262164_part_3.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,0.6462,10.1016_j.ejpb.2015.02.025_part_2.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,3.5,10.1007_s13233-011-0513-9_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,[*]OCC[*],19.8,10.1002_app.36586_10.1002_app.36586_part_2.txt_段1_Material2
O=C(C(C[*])[*])N,CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,,1.12,10.1016_j.biomaterials.2012.06.091_part_1.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,1.2,10.1002_adhm.201600136_part_2.txt_段1_Material2
[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,2.7,10.1016_j.eurpolymj.2021.110357_part_1.txt_段1_Material3
[*]OCC[*],CC(CO[*])[*],[*]O[C@H](C)CC([*])=O,4.99,10.1002_mame.201700656_part_3.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OC1C(OC(C(C1O)O)[*])CO[*],,6.41,10.1002_mds3.10151_10.1002_mds3.10151_part_3.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,13.74,10.1007_s10570-020-03396-z_part_3.txt_段1_Material1
[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,1.32,10.1111_aor.13474_part_4.txt_段1_Material4
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,0.55,10.1007_s10965-018-1546-y_part_2.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C([H])([H])C(O)([H])[*],,6.77,10.1016_j.ecoenv.2020.110935_part_1.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]CC([*])Cl,,3.507,10.1007_s10570-013-9897-3_part_2.txt_段1_Material1
[*]CC(C)(C(OCCO)=O)[*],[*]C([H])([H])C(O)([H])[*],,9,10.1016_j.egypro.2014.07.171_part_2.txt_段1_Material1
[*]C(C)C(OCC(O[*])=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,0.1548,10.1039_c5tb02113h_part_5.txt_段1_Material1
[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,,,0.5,10.37256_fce.4220232705_OA_part_2.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,,1.5651,10.1039_c3cp54429j_part_2.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CC=CCCC(C1=CC=CC=C1)[*],,0.5,10.1007_s00289-018-2273-6_part_3.txt_段1_Material1
O=C(C(C[*])[*])N,[*]CC([*])N1CCCC1=O,,0.182,10.1016_j.polymer.2012.12.069_part_2.txt_段1_Material4
[*]C(CCCCCO[*])=O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,0.7,10.3390_ijms21186544_part_3.txt_段1_Material2
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]OCC[*],[*]C([H])([H])C(O)([H])[*],1.2589,10.1007_s10856-020-06422-5_part_2.txt_段1_Material2
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]CC([*])N1CCCC1=O,,2.5,10.1007_s13233-011-0513-9_part_1.txt_段1_Material2
O=C(C(C[*])[*])N,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,18,10.1177_0883911509357863_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(O)C([*])C[*],0.025,10.1016_j.msec.2018.05.080_part_6.txt_段1_Material2
[*]C(C)C[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,0.3467,10.1016_j.desal.2011.06.032_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]OCC[*],,5.39,10.19080_ajop.2019.03.555614_OA_part_1.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,10,10.1088_1748-6041_9_6_065002_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,37.52,10.1016_j.nanoso.2020.100507_part_2.txt_段1_Material2
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,0,10.1002_app.50979_part_2.txt_段1_Material1
O=C(O)C([*])C[*],O=C(C(C[*])[*])N,,0.15,10.1021_ma301025a_part_1.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]NC(C(O)=O)CCC([*])=O,,0.7,10.1016_j.carbpol.2017.09.071_part_1.txt_段1_Material1
[*]CC([*])N1CCCC1=O,O=C(O)C([*])C[*],,0.27,10.5897_ajb-11-2333_part_1.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,2,10.1021_acsami.8b21268_part_5.txt_段1_Material1
[*]CC(C1=CC=CC=C1)[*],,,0.015,10.1002_polb.23997_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,17.84,10.37358_mp.23.1.5649_OA_part_2.txt_段1_Material2
[*]C(C)C(OCC(O[*])=O)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,6.5,10.4028_www.scientific.net_amm.467.108_part_1.txt_段1_Material1
[*]C1=CC=C([*])N1,,,0.1,10.1109_tmech.2010.2049366_part_1.txt_段1_Material1
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,1.7,10.3390_molecules22050721_part_2.txt_段1_Material2
[*]C([H])([H])C(O)([H])[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,0.4,10.1002_pc.23823_10.1002_pc.23823_part_1.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,31,10.1163_092050611x568430_part_3.txt_段1_Material1
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]C([H])([H])C(O)([H])[*],,4.25,10.1007_s10570-015-0624-0_part_3.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,7,10.1021_acsabm.0c01630_part_3.txt_段1_Material5
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,C[Si](O[*])(C)[*],,0.6579999999999999,10.1002_cjce.23108_part_1.txt_段1_Material1
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]OCC[*],,18,10.1016_j.polymertesting.2019.05.006_part_1.txt_段1_Material1
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,8.969299999999999,10.1111_jfbc.12214_part_2.txt_段1_Material2
C[Si](C)(C[*])O[*],,,9.75,10.1016_j.polymer.2019.03.075_part_6.txt_段1_Material3
O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,0.83,10.1007_s10570-017-1585-2_10.1007_s10570-017-1585-2_part_2.txt_段1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,7.1,10.1007_s00289-021-03797-5_part_3.txt_段1_Material1
[*]C(C)C(OCC(O[*])=O)=O,[*]C(CCCCCO[*])=O,,12,10.1039_c8bm00705e_part_1.txt_段1_Material1
[*]C(CCCCCO[*])=O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,0.0515,10.4028_www.scientific.net_amr.879.119_part_2.txt_段1_Material1
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,44,10.1007_s10570-019-02378-0_10.1007_s10570-019-02378-0_part_2.txt_段1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,0.65,10.1021_ie303208p_part_1.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]NC(C(O)=O)CCC([*])=O,,0.0395999999999999,10.4028_www.scientific.net_amr.1095.423_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,6.3215,10.1038_s41598-017-08220-6_part_1.txt_段1_Material1
[*]CC(C1=CC=CC=C1)[*],COC(C(C[*])([*])C)=O,,0.0197999999999999,10.1002_slct.201902351_part_3.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,12,10.1016_j.carbpol.2018.10.002_part_3.txt_段1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]NC(C(O)=O)CCC([*])=O,,3.21,10.1007_s10965-018-1488-4_part_1.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,10.75,10.3390_polym13142302_part_3.txt_段1_Material1
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[*]C([H])([H])C(O)([H])[*],,14.0424,10.1007_s10570-020-03249-9_part_2.txt_段1_Material1
O=C(C(C[*])[*])N,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],135.4,10.1002_adv.20245_part_3.txt_段1_Material1
[*]CC(C)(C(OCCO)=O)[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,0.9,10.1007_s00289-014-1235-x_part_2.txt_段1_Material2
O=C(C(C[*])[*])N,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,7.7,10.1007_s00289-014-1235-x_part_2.txt_段1_Material1
O=C(O)C([*])C[*],,,14,10.1139_cjc-2019-0337_part_2.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,10,10.1021_acsami.7b18859_part_2.txt_段1_Material1
O=C(C(C[*])[*])N,[*]NC(C(O)=O)CCC([*])=O,,1.5,10.1007_s00289-011-0549-1_10.1007_s00289-011-0549-1_part_2.txt_段1_Material1
O=C([*])C(C)O[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,3.88,10.1002_cbin.10178_part_1.txt_段1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(O)C([*])C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,1.68,10.1021_acsami.9b15817_part_3.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,14,10.1021_bm401712q_part_1.txt_段1_Material2
O=C([*])C(C)O[*],[*]OCC[*],,1.38,10.4028_www.scientific.net_msf.789.130_part_1.txt_段1_Material1
[*]C/C=C(C[*])\Cl,,,10.96,10.1002_app.36249_10.1002_app.36249_part_1.txt_段1_Material1
[*]C(CCCCCO[*])=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,1.86,10.1002_app.41653_part_2.txt_段1_Material3
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,,,3,10.1007_s10570-015-0757-1_10.1007_s10570-015-0757-1_part_3.txt_段1_Material1
O=C(C(C[*])[*])N,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,53,10.1007_s00289-011-0643-4_10.1007_s00289-011-0643-4_part_4.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OCC[*],,5.8,10.1080_10601325.2019.1607377_part_2.txt_段1_Material2
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,O=C(C(C[*])[*])N,,11.9,10.1007_s00289-017-2138-4_part_2.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CC([*])N1CCCC1=O,,22.89,10.3390_polym13121962_part_3.txt_段1_Material8
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C([H])([H])C(O)([H])[*],,0.998,10.1088_1748-6041_9_6_065002_part_2.txt_段1_Material3
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,,44.88,10.1016_j.indcrop.2018.05.047_part_2.txt_段1_Material2
[*]C(C)C(OCC(O[*])=O)=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,0.85,10.1021_bm501313t_part_4.txt_段1_Material1
C/C(C[*])=C/C[*],,,10.33,10.1016_j.compositesa.2021.106601_part_1.txt_段1_Material1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],C[Si](C)(C[*])O[*],,0.073,10.1016_j.colsurfa.2020.124994_part_3.txt_段1_Material1
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,10.272,10.1016_j.compositesb.2020.107877_part_2.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,4.104,10.1007_s10570-017-1366-y_part_2.txt_段1_Material1
