feature,importance
fp_170,0.05795071449273763
fp_969,0.023061779406776284
fp_247,0.020480565030526608
fp_854,0.007596911836435105
fp_510,0.006701269069974513
fp_273,0.006540367600236918
fp_258,0.006502121009045414
fp_978,0.006125059128701637
fp_545,0.005535558383863914
fp_698,0.005349357138840072
fp_22,0.005034796463787528
fp_461,0.004906324693318609
fp_745,0.00469410374673983
fp_78,0.0044633821070128145
fp_931,0.004321513703081181
fp_456,0.00399630964318255
fp_132,0.003930597970860062
fp_763,0.00381775693841242
fp_349,0.0036757133355944218
fp_91,0.0034065150096270315
fp_176,0.0032971696911549774
fp_29,0.0032827994378254568
fp_485,0.003174115339575656
fp_624,0.002788323545496063
fp_686,0.0025493308796154857
fp_473,0.00229680608983589
fp_997,0.0022529926089302488
fp_449,0.0021831955499204358
fp_408,0.0021264096062165393
fp_486,0.002058079600982954
fp_987,0.0020427305332078815
fp_952,0.0020123337856721934
fp_416,0.002003278509576667
fp_227,0.0019783942774507903
fp_985,0.001902999643341241
fp_409,0.0018412476632413744
fp_432,0.001805972881292439
fp_342,0.0017948761167999483
fp_615,0.001787990935839101
fp_304,0.001740478584220495
fp_700,0.001725655614377064
fp_584,0.0016997809438364375
fp_186,0.0016676561135931967
fp_488,0.00166170054836694
fp_193,0.0016150696935089749
fp_587,0.001595416392004545
fp_105,0.0015926909709079507
fp_981,0.0015715208013914906
fp_453,0.001569329009471343
fp_858,0.0015588656563582215
fp_348,0.001553298474023379
fp_804,0.0015433016144913436
fp_715,0.0015079432635864865
fp_379,0.0014995023611761304
fp_937,0.001447143125109196
fp_500,0.0014446558812138855
fp_724,0.0014026189473946293
fp_1009,0.0013792886922080693
fp_259,0.001320404511580242
fp_345,0.00131522878368453
fp_933,0.0012887498555881449
fp_632,0.0012725679324687377
fp_274,0.001238250680093811
fp_974,0.0012241966628381063
fp_295,0.0012072112326486529
fp_814,0.0012059342833824148
fp_744,0.0011750649745282393
fp_468,0.0011103972930574303
fp_730,0.0010624661038423967
fp_74,0.0010492240853657076
fp_446,0.0010435486732893295
fp_748,0.0010411420323433896
fp_606,0.0010277730357865166
fp_675,0.0010087620612966198
fp_37,0.0009961638594581546
fp_369,0.0009948285108522636
fp_191,0.000994783920355391
fp_242,0.0009743505782211836
fp_734,0.00094724508266123
fp_837,0.0009434216660665573
fp_288,0.0009338580078933845
fp_721,0.0009321661144199745
fp_900,0.0009009482285924908
fp_1017,0.000894131413135768
fp_41,0.0008848742491400219
fp_912,0.0008805924113220343
fp_812,0.0008527315317027994
fp_600,0.000850885203696472
fp_350,0.000826163152021131
fp_300,0.0008175007254304645
fp_597,0.0008165569805974049
fp_440,0.0007676230276034146
fp_841,0.0007631482638832288
fp_697,0.0007501174379588637
fp_580,0.0007122186511970274
fp_781,0.0006833474079876778
fp_526,0.0006808957776457625
fp_958,0.0006807223583643385
fp_988,0.0006759743482102731
fp_994,0.0006750015072135018
fp_760,0.000672327458691413
fp_368,0.000603073014308797
fp_454,0.0006004000049978809
fp_712,0.0005988353201831775
fp_162,0.0005969788111974239
fp_378,0.0005892879305985033
fp_648,0.0005809559585851498
fp_1,0.000573861725234448
fp_808,0.00056006565531731
fp_596,0.0005401025125869486
fp_497,0.0005374709266073863
fp_591,0.0005367716178137693
fp_264,0.0005004892624882907
fp_518,0.0004979644552887796
fp_243,0.000496451685031718
fp_776,0.0004950712558377424
fp_522,0.0004922515277464123
fp_870,0.0004908746349930881
fp_306,0.00047467675251858796
fp_276,0.0004593664278820686
fp_294,0.00045100061922285215
fp_774,0.0004509516979497419
fp_923,0.0004066395712584825
fp_418,0.0004012588675444295
fp_785,0.0004007101095144461
fp_146,0.0003955123752916401
fp_125,0.00038803574917923856
fp_465,0.0003854351782755505
fp_877,0.0003849257453525379
fp_687,0.00038482156088552876
fp_256,0.0003703879899365603
fp_420,0.0003647819133163588
fp_782,0.0003616686027712035
fp_354,0.0003602247054653396
fp_1013,0.0003577446996311795
fp_869,0.0003573087754651594
fp_843,0.00035724967015562383
fp_543,0.0003557810033250286
fp_390,0.00034887849798811434
fp_951,0.0003381283754458786
fp_747,0.00033205202338754125
fp_1022,0.00032991622567076775
fp_63,0.00032751506707111576
fp_476,0.00032677509860657984
