idx,y_pred,y_true,residual,fold
0,3.5198952649712005,5.698970004336019,2.179074739364818,7
1,3.337075220555503,3.049218022670181,-0.28785719788532216,7
2,3.337075220555503,2.903089986991944,-0.433985233563559,7
3,5.278441017087156,2.9542425094393248,-2.324198507647831,7
4,5.749097808874922,3.90848501887865,-1.8406127899962716,7
5,4.690665940549272,3.322219294733919,-1.3684466458153532,7
6,5.215523312803472,5.301029995663981,0.08550668286050911,7
7,5.001892863462964,6.035709837827862,1.033816974364898,7
8,5.011207193201691,5.954242509439325,0.9430353162376344,7
9,5.4488496260568136,3.949390006644913,-1.4994596194119008,7
10,3.686606929914239,3.661812685537261,-0.02479424437697819,7
11,4.595179538158829,3.505149978319906,-1.0900295598389236,7
12,4.0040701789192426,5.0948203803548,1.090750201435557,7
13,4.398563750623468,3.397940008672037,-1.0006237419514306,7
14,5.167047890446512,3.832508912706236,-1.334538977740276,7
15,5.044987953235052,5.6020599913279625,0.5570720380929108,7
16,4.190869135821616,5.238046103128795,1.0471769673071787,7
17,3.711894966895865,3.0791812460476247,-0.6327137208482405,7
18,3.608150775400825,3.823474229170301,0.21532345376947593,7
19,4.394114354459296,3.838849090737255,-0.5552652637220405,7
20,4.4322175807003505,3.505149978319906,-0.9270676023804447,7
21,4.59265274331567,6.041392685158225,1.4487399418425557,7
22,4.925914246626681,3.8813846567705728,-1.0445295898561087,7
23,4.725268075688407,5.576341350205793,0.8510732745173852,7
24,5.836537625601069,6.823539433656859,0.9870018080557905,7
25,6.482496923971245,6.3979400086720375,-0.08455691529920717,7
26,6.613315286294314,6.3979400086720375,-0.21537527762227615,7
27,6.074971316473657,6.558708570533166,0.48373725405950907,7
28,6.074971316473657,6.107549129744687,0.03257781327102993,7
29,6.148240008221456,4.193681029541281,-1.9545589786801747,7
30,6.230398402870604,5.929418925714293,-0.3009794771563108,7
31,6.355442808056353,6.531478917042255,0.17603610898590194,7
32,6.341550615214516,6.414973347970818,0.07342273275630262,7
33,6.274021653028268,6.384890796530554,0.11086914350228572,7
34,6.995539643204132,7.0,0.004460356795868314,7
35,6.616998586540237,6.8750612633917,0.25806267685146267,7
36,6.541325953670351,6.835056101720117,0.2937301480497654,7
37,6.585388096999986,7.079181246047625,0.49379314904763927,7
38,5.114879558132389,4.072984744627931,-1.0418948135044586,7
39,5.64419227449309,5.113943352306837,-0.530248922186253,7
40,4.302635482300812,5.096910013008056,0.7942745307072441,7
41,5.250676721413172,5.342422680822207,0.0917459594090344,7
42,6.230821168786538,6.2405492482826,0.009728079496062136,7
43,4.748739468080086,5.278753600952829,0.5300141328727426,7
44,6.281492586721799,6.2552725051033065,-0.026220081618492763,7
45,5.503964191995171,5.023540521554854,-0.48042367044031664,7
