idx,y_pred,y_true,residual,fold
0,3.938786445003083,5.698970004336019,1.7601835593329356,6
1,3.3220294991460575,3.049218022670181,-0.27281147647587645,9
2,3.3411693679411885,2.903089986991944,-0.43807938094924426,5
3,5.1848608210776375,2.9542425094393248,-2.2306183116383127,5
4,6.289504259005395,3.90848501887865,-2.381019240126745,8
5,4.604605338400586,3.322219294733919,-1.282386043666667,5
6,4.985488985134177,5.301029995663981,0.3155410105298042,5
7,5.278938891793042,4.086359830674748,-1.1925790611182938,7
8,5.189941130044337,6.035709837827862,0.8457687077835248,9
9,5.0170591514732585,5.954242509439325,0.9371833579660667,6
10,5.604396257359469,3.949390006644913,-1.6550062507145564,4
11,4.257206549036016,5.742725131304698,1.485518582268682,7
12,3.9047451784291156,3.661812685537261,-0.2429324928918546,5
13,4.709241607871802,3.505149978319906,-1.2040916295518964,10
14,4.025614050564928,5.0948203803548,1.0692063297898713,10
15,4.4180036271845475,3.397940008672037,-1.0200636185125105,2
16,4.659240065427255,3.832508912706236,-0.826731152721019,8
17,5.064517395857162,5.6020599913279625,0.5375425954708009,8
18,4.110957058774472,5.238046103128795,1.1270890443543227,3
19,3.7455217101924005,3.0791812460476247,-0.6663404641447759,8
20,3.5849941747032745,3.823474229170301,0.23848005446702647,10
21,4.475288906784509,3.838849090737255,-0.6364398160472535,10
22,4.584957055024506,3.505149978319906,-1.0798070767046002,8
23,4.711921091290289,6.041392685158225,1.329471593867936,1
24,5.313344882580784,3.8813846567705728,-1.4319602258102115,5
25,4.9913998852124895,5.576341350205793,0.5849414649933031,5
26,5.884635230108852,6.823539433656859,0.9389042035480069,9
27,6.4599475385675404,6.3979400086720375,-0.062007529895502955,5
28,6.395941483209,6.707570176097937,0.31162869288893713,7
29,6.544680435873646,6.3979400086720375,-0.14674042720160863,1
30,6.06109209335499,6.558708570533166,0.4976164771781759,1
31,5.635644910799112,6.107549129744687,0.4719042189455749,3
32,6.104936957500492,4.193681029541281,-1.9112559279592105,1
33,6.416653148029484,5.929418925714293,-0.4872342223151911,6
34,6.357667622145891,6.531478917042255,0.17381129489636393,10
35,6.131585799699759,6.414973347970818,0.28338754827105905,8
36,6.26003333037013,6.372912002970106,0.11287867259997597,7
37,6.381868035239541,6.384890796530554,0.0030227612910129764,9
38,4.385582769038623,6.325843928293292,1.9402611592546686,7
39,6.38015920724324,7.0,0.6198407927567597,5
40,6.398502329724457,6.8750612633917,0.4765589336672429,10
41,6.067247025740676,6.835056101720117,0.7678090759794403,4
42,6.1882871223544615,7.079181246047625,0.8908941236931636,6
43,5.217233797725116,4.072984744627931,-1.1442490530971856,2
44,6.223727238016081,5.113943352306837,-1.109783885709244,2
45,4.194773400529778,5.096910013008056,0.9021366124782784,5
46,5.274041862636516,5.342422680822207,0.0683808181856902,8
47,5.922591891902888,6.2405492482826,0.31795735637971223,5
48,4.117214857022902,5.278753600952829,1.1615387439299267,4
49,6.01868111008263,6.2552725051033065,0.2365913950206764,1
50,5.436174553690359,5.023540521554854,-0.41263403213550465,8
51,5.535561240165453,6.313867220369153,0.7783059802037,1
52,5.9258448694922885,6.361727836017593,0.43588296652530456,6
53,6.180676435535622,6.6020599913279625,0.42138355579234066,9
54,5.626356187140656,6.649334858712142,1.0229786715714857,3
55,6.056966652530685,6.041392685158225,-0.015573967372459308,5
56,5.404820797278972,5.901294817165567,0.49647401988659556,2
57,5.130393391112061,6.447158031342219,1.3167646402301587,7
58,5.935164002012817,4.681241237375588,-1.2539227646372293,3
59,5.610913229173724,5.81504617606463,0.20413294689090655,1
60,5.771899700782271,4.992818520066679,-0.7790811807155915,6
61,4.697772638515365,3.204119982655925,-1.4936526558594396,7
62,5.937788553927161,6.8750612633917,0.9372727094645388,6
63,6.560773118821569,6.8909795969896885,0.33020647816811977,2
64,6.144103943346149,6.0,-0.14410394334614907,10
65,4.697882046633271,4.5003737143533735,-0.19750833227989784,1
66,5.615482484724295,6.3979400086720375,0.7824575239477429,5
67,6.167035209456331,6.447158031342219,0.28012282188588866,2
68,5.493688674079416,7.267171728403014,1.7734830543235978,6
69,5.732198967347426,5.045714058940868,-0.6864849084065572,1
70,4.73632192979982,6.230448921378274,1.4941269915784545,1
71,6.222413475207911,4.127104798364807,-2.0953086768431035,6
72,5.784658441803373,6.0,0.21534155819662715,5
73,6.579693170232323,5.715167357848458,-0.8645258123838655,1
74,6.167853619635134,6.024046225131059,-0.14380739450407543,6
75,1.323912121643512,3.645422269349092,2.32151014770558,7
76,4.666101028193664,3.146128035678238,-1.5199729925154255,1
77,1.5548034537331008,2.8750612633917,1.3202578096585993,6
78,3.8225728083292614,3.3010299956639813,-0.5215428126652801,2
79,4.1036268446276365,3.3138672203691533,-0.7897596242584832,7
80,5.123052471966276,5.905795880367869,0.7827434084015925,6
81,4.661727573909275,2.6989700043360187,-1.962757569573256,3
82,3.446776888339054,4.146128035678238,0.699351147339184,6
83,2.651899912814485,3.2430380486862944,0.5911381358718093,4
84,3.5027304174163936,2.6532125137753435,-0.8495179036410501,6
85,3.8722365149551092,2.1089031276673134,-1.7633333872877959,5
86,3.8866530508365904,3.7781512503836434,-0.108501800452947,3
87,3.937073000314336,3.3010299956639813,-0.6360430046503547,10
88,4.371797968923861,3.0,-1.371797968923861,4
89,4.85961286897734,4.431363764158987,-0.4282491048183532,7
90,4.707833748781619,4.423245873936808,-0.28458787484481096,7
91,4.435531130054739,4.431363764158987,-0.004167365895751729,10
92,4.0385700132104985,5.544068044350276,1.5054980311397772,6
93,3.9046288084715326,3.0,-0.9046288084715326,8
94,5.525760850458632,3.1583624920952498,-2.3673983583633826,6
95,3.5750976683407947,2.740362689494244,-0.8347349788465506,10
96,3.4321225646451845,3.6232492903979,0.1911267257527154,4
97,6.260056815043469,5.375092713083399,-0.8849641019600698,6
98,6.3844964001178495,6.361727836017593,-0.022768564100256405,10
99,6.01868111008263,6.409933123331294,0.3912520132486641,1
100,6.505446301314558,6.477121254719663,-0.028325046594895653,2
101,6.238923716354714,7.021189299069938,0.7822655827152243,2
102,5.565416449556837,3.413299764081252,-2.152116685475585,6
103,5.659686028193281,4.260071387985075,-1.3996146402082061,9
104,6.437494364892049,6.0,-0.43749436489204907,6
105,6.269982717613893,6.740362689494244,0.47037997188035074,6
106,6.272838147028232,6.099231615080882,-0.17360653194735054,5
107,6.11494990135827,6.431363764158987,0.3164138628007169,2
108,6.47785237612621,4.6464037262230695,-1.8314486499031402,7
109,6.2019188216178485,6.142702245737616,-0.05921657588023255,1
110,6.285414769021708,6.431363764158987,0.145948995137279,6
111,5.88349292881914,6.19258417809083,0.30909124927168996,3
112,6.157230395200266,6.238046103128795,0.08081570792852943,9
113,6.1551364400907635,6.950851458888547,0.7957150187977833,3
114,6.402763397406299,4.819543935541868,-1.5832194618644309,7
115,6.143311122499447,4.716504163773217,-1.42680695872623,2
116,6.018584910191328,6.612783856719736,0.5941989465284081,8
117,6.247448296672368,5.7160033436348,-0.5314449530375676,6
118,6.2085400567447655,6.3979400086720375,0.189399951927272,6
119,6.0129745398155725,6.077258863692948,0.06428432387737537,8
120,6.062396950686748,6.614897216033135,0.5525002653463877,5
121,5.441918430903162,5.00902574208691,-0.43289268881625187,10
122,5.6205758222879565,5.37383114507383,-0.24674467721412618,9
123,5.671909350695152,6.477121254719663,0.8052119040245103,1
124,5.91118798877609,4.862250674597925,-1.0489373141781657,1
125,5.761252739240363,6.466867620354109,0.7056148811137462,6
126,6.301526863087701,5.188084373714938,-1.1134424893727628,4
127,6.212112586151158,6.079181246047625,-0.13293134010353302,8
128,5.970607015833102,6.146128035678238,0.17552101984513602,2
129,6.181657086285095,5.326335860928752,-0.8553212253563434,4
130,5.693510561503697,6.768638101247615,1.0751275397439182,10
131,6.098709890504466,5.48572142648158,-0.6129884640228864,4
132,6.247174432628694,5.507072896756503,-0.7401015358721912,6
133,6.2808397740669575,5.08361010516231,-1.1972296689046473,7
134,6.00313618686928,6.156851901070011,0.1537157142007315,10
135,6.562612330318794,5.676693609624866,-0.8859187206939279,1
136,6.796522169616272,7.252853030979893,0.45633086136362166,5
137,6.618776401911474,6.301029995663981,-0.31774640624749306,6
138,6.438443723426656,6.477121254719663,0.03867753129300677,5
139,5.9568746604393885,6.361727836017593,0.40485317557820455,5
140,5.7987577311381555,6.079181246047625,0.2804235149094696,4
141,5.642684994194054,4.396199347095736,-1.2464856470983179,2
142,5.937412177461905,6.14705767102836,0.20964549356645534,4
143,6.186086700810408,5.195456833628169,-0.9906298671822391,9
144,6.379720408391953,5.643551368562945,-0.7361690398290079,7
145,5.988765991541575,6.016197353512439,0.027431361970863932,6
146,5.483534700995483,6.079181246047625,0.5956465450521424,9
147,5.8335700280993334,6.146128035678238,0.31255800757890473,4
148,5.403974759963713,6.0,0.5960252400362869,2
149,5.496667525802548,4.113943352306837,-1.3827241734957108,8
150,6.099192259556861,6.577491799837225,0.47829954028036425,9
151,6.659755151819355,5.472756449317212,-1.1869987025021427,9
152,6.486423141024145,6.334453751150931,-0.15196938987321396,9
