idx,y_pred,y_true,residual,fold,proba_pos
0,1,0,-1,6,0.6278383861459808
1,0,0,0,6,0.24527188867420163
2,0,0,0,6,0.24312694698382487
3,0,0,0,6,0.2302859555787716
4,1,1,0,6,0.744845781052573
5,1,0,-1,6,0.6213066699415796
6,1,1,0,6,0.5690156654815406
7,1,0,-1,6,0.5016497555538254
8,1,1,0,6,0.6077141530526229
9,1,1,0,6,0.5985481983491344
10,1,1,0,6,0.611146989299152
11,0,0,0,6,0.2839472798805523
12,0,0,0,6,0.362156694632749
13,0,0,0,6,0.22523998228704817
14,1,1,0,6,0.808625491495031
15,1,1,0,6,0.6900303535254035
16,0,0,0,6,0.47320879478882355
17,0,0,0,6,0.07760580339837865
18,0,0,0,6,0.16380270663891086
19,1,0,-1,6,0.5117276699809058
20,0,0,0,6,0.4965909084734274
21,1,1,0,6,0.5210745543847228
22,0,0,0,6,0.38561704141260306
23,1,1,0,6,0.5797701708226266
24,0,0,0,6,0.3643182634515427
25,0,0,0,6,0.21135675722918904
26,1,1,0,6,0.6490684886581894
27,1,1,0,6,0.6904753078788085
28,0,0,0,6,0.14720511535263042
29,1,1,0,6,0.5859744447773447
30,1,1,0,6,0.7810800421065582
31,1,1,0,6,0.5993349796565666
32,1,0,-1,6,0.7165989547940842
33,0,0,0,6,0.24416231449025846
34,1,1,0,6,0.6640120504734984
35,0,0,0,6,0.13074288676298862
36,0,0,0,6,0.17177137861377414
37,0,0,0,6,0.37858750650547246
38,0,0,0,6,0.1311741356536871
39,0,0,0,6,0.34675199210570157
40,0,0,0,6,0.2977363107187006
41,0,0,0,6,0.4707587156963789
42,1,1,0,6,0.6699897410260942
43,1,1,0,6,0.743695304145127
44,0,0,0,6,0.4826475075430233
45,0,0,0,6,0.18285420833601063
46,0,0,0,6,0.35723637503569083
47,0,0,0,6,0.18117368519996255
48,0,0,0,6,0.0786616945520949
49,1,0,-1,6,0.52793999714614
50,0,0,0,6,0.3640231319692774
51,0,1,1,6,0.46470189895066144
52,1,1,0,6,0.7054839992800294
53,0,0,0,6,0.2629288669891141
54,0,0,0,6,0.28756925718080645
55,0,0,0,6,0.227365760557604
56,0,0,0,6,0.2587105382784268
57,0,0,0,6,0.26158154921323734
58,0,0,0,6,0.11644947241502668
59,1,1,0,6,0.759789521845137
60,0,0,0,6,0.18798101564629316
61,0,0,0,6,0.3518527704038138
62,0,0,0,6,0.19670525928092872
63,1,1,0,6,0.6424696381917055
64,0,0,0,6,0.33450702583201014
65,1,1,0,6,0.6238092852412825
66,0,0,0,6,0.46049200365540405
67,1,1,0,6,0.6869991421985153
68,1,1,0,6,0.5766055659092806
69,1,1,0,6,0.8152007882660918
70,0,0,0,6,0.2511072503966462
71,0,0,0,6,0.1655085933971774
72,1,1,0,6,0.5507997813771467
73,1,1,0,6,0.7774345983400873
74,0,0,0,6,0.19108786338209266
75,0,0,0,6,0.22773014636141187
76,1,1,0,6,0.5805843099840643
77,1,0,-1,6,0.5384199817808342
78,0,0,0,6,0.23239657358258953
79,0,0,0,6,0.23129251693155278
80,0,0,0,6,0.4582028388889564
81,1,1,0,6,0.673112318046288
82,1,1,0,6,0.7687955523854572
83,0,0,0,6,0.34303455955398177
84,0,0,0,6,0.23628040985101295
85,0,0,0,6,0.3318623339957846
86,1,1,0,6,0.7373138964159592
87,0,0,0,6,0.07410163570266061
88,0,0,0,6,0.29944162387422435
89,1,0,-1,6,0.5068478338764515
90,0,0,0,6,0.47714593748234774
91,0,0,0,6,0.1769077567471282
92,0,1,1,6,0.4492218522257599
93,1,1,0,6,0.7289294847323278
94,0,0,0,6,0.23960500349518868
95,0,0,0,6,0.23816858531483945
96,0,0,0,6,0.10943956050457772
97,0,0,0,6,0.15439371175100924
98,1,1,0,6,0.6537278562472587
99,0,0,0,6,0.22942876372174606
100,0,0,0,6,0.057804235088089406
101,1,0,-1,6,0.5056381040113834
102,1,0,-1,6,0.6441737581306418
103,1,0,-1,6,0.5713492432922864
104,0,1,1,6,0.41469690652717855
105,0,0,0,6,0.20845225398951658
106,0,0,0,6,0.37783641274771107
107,0,0,0,6,0.44171256952344357
108,1,1,0,6,0.6614867960918293
109,1,1,0,6,0.8320832748452208
110,0,0,0,6,0.24794195234424857
111,0,0,0,6,0.23783991713366706
