idx,y_pred,y_true,residual,fold,proba_pos
0,1,0,-1,3,0.6592048185994084
1,0,0,0,3,0.21350580599929572
2,0,0,0,3,0.19020110128232226
3,0,0,0,3,0.28408917922667704
4,1,1,0,3,0.8030859932958995
5,1,0,-1,3,0.6471435177366176
6,1,1,0,3,0.535952975512131
7,1,0,-1,3,0.5038848461672095
8,1,1,0,3,0.6631092897135433
9,1,1,0,3,0.6260979624101632
10,0,0,0,3,0.22161378021475614
11,0,0,0,3,0.3022206298509277
12,0,0,0,3,0.1745112344682658
13,0,0,0,3,0.42897789972892864
14,1,1,0,3,0.8167973700824899
15,1,1,0,3,0.6798434264361423
16,0,0,0,3,0.3328495585001507
17,0,0,0,3,0.06464176216055277
18,0,0,0,3,0.21432410568197427
19,0,0,0,3,0.47511356767305474
20,1,1,0,3,0.6604288363493469
21,0,0,0,3,0.3539675458140482
22,0,1,1,3,0.40644451167662443
23,0,0,0,3,0.4211956664346449
24,1,1,0,3,0.561172713785352
25,0,0,0,3,0.3154398658692767
26,0,0,0,3,0.1814840519556659
27,1,1,0,3,0.7105473020627973
28,1,1,0,3,0.6754865918096802
29,0,0,0,3,0.1959916639565766
30,0,0,0,3,0.24110525277377273
31,1,1,0,3,0.6123922868242802
32,0,0,0,3,0.2475439004163968
33,1,1,0,3,0.7843042422652521
34,1,1,0,3,0.5818664444101107
35,1,0,-1,3,0.7814962513819628
36,0,0,0,3,0.18190616377050045
37,1,1,0,3,0.6849550377185984
38,0,0,0,3,0.18468274669005438
39,0,0,0,3,0.14126302113838632
40,0,0,0,3,0.4067170396238949
41,0,0,0,3,0.09477230681508057
42,0,0,0,3,0.31665345621576646
43,0,0,0,3,0.2586321732544476
44,0,0,0,3,0.3691692590159926
45,1,1,0,3,0.6892666779191853
46,1,1,0,3,0.750767436211939
47,1,0,-1,3,0.5113199809763829
48,0,0,0,3,0.24561733889277454
49,0,0,0,3,0.31706321899558715
50,0,0,0,3,0.19827085744523568
51,1,1,0,3,0.8280351080919206
52,0,0,0,3,0.10440396793908528
53,0,0,0,3,0.3958057163425441
54,0,1,1,3,0.4891637352980947
55,1,1,0,3,0.6302836119283264
56,0,0,0,3,0.2476467577364512
57,0,0,0,3,0.19006020439538945
58,0,0,0,3,0.2675878355531389
59,0,0,0,3,0.23338184646777269
60,0,0,0,3,0.15865220651865453
61,1,1,0,3,0.753967355281685
62,0,0,0,3,0.15056424613567956
63,0,0,0,3,0.460192343005688
64,1,1,0,3,0.6791608362361996
65,0,0,0,3,0.2566790777737565
66,1,1,0,3,0.5615869821570327
67,1,0,-1,3,0.5828747559425094
68,0,0,0,3,0.13258314472652796
69,1,1,0,3,0.7046514328109466
70,0,1,1,3,0.4848896623189637
71,1,1,0,3,0.8286464159944247
72,0,0,0,3,0.24317336920414195
73,0,1,1,3,0.49025650369004253
74,1,1,0,3,0.7905094474502251
75,0,0,0,3,0.21451434966561553
76,0,0,0,3,0.2437116279154561
77,1,1,0,3,0.5671826619772745
78,1,1,0,3,0.5272086376415316
79,0,0,0,3,0.435277271922187
80,0,0,0,3,0.26138147202856343
81,0,0,0,3,0.24721169784078817
82,1,0,-1,3,0.5473698399536817
83,1,1,0,3,0.788834898875513
84,0,0,0,3,0.35437267201110006
85,0,0,0,3,0.233931227717038
86,1,0,-1,3,0.5881376463031969
87,0,0,0,3,0.24697403828886214
88,1,1,0,3,0.7994382262835931
89,0,0,0,3,0.3643767328781933
90,1,0,-1,3,0.5431088591135712
91,0,0,0,3,0.36636579310148243
92,0,0,0,3,0.4990791270314912
93,0,0,0,3,0.15603950160136135
94,0,1,1,3,0.48408511176368585
95,1,1,0,3,0.7966662718308569
96,0,0,0,3,0.19472711375059915
97,0,0,0,3,0.194976064474925
98,0,0,0,3,0.10498672053206452
99,0,0,0,3,0.14217944619917927
100,1,1,0,3,0.6369790860344858
101,0,0,0,3,0.18218780071678986
102,1,0,-1,3,0.5352748001285872
103,0,0,0,3,0.07158576698741712
104,1,0,-1,3,0.5356329884815301
105,1,0,-1,3,0.6163040073029717
106,0,1,1,3,0.4433188227420336
107,0,0,0,3,0.19718223456503375
108,0,0,0,3,0.36412048728522206
109,0,0,0,3,0.33853590183871285
110,1,1,0,3,0.5903671258539949
111,1,1,0,3,0.8458688591606397
112,0,0,0,3,0.22896702690892307
113,0,0,0,3,0.47591763016980426
114,0,0,0,3,0.16711253782009441
115,0,0,0,3,0.2511816076336584
116,1,1,0,3,0.5098530001161005
117,0,0,0,3,0.4393679093316042
118,1,1,0,3,0.6163040073029717
119,1,1,0,3,0.7977502066082154
120,0,0,0,3,0.18629192262563116
121,0,0,0,3,0.25812128686300057
122,1,0,-1,3,0.5846195058997107
123,0,0,0,3,0.297662836294017
124,0,0,0,3,0.26063818769512476
125,1,0,-1,3,0.5368980856340956
126,1,1,0,3,0.8415434461249103
127,0,0,0,3,0.061254978945845695
128,0,0,0,3,0.12177482153244722
129,1,0,-1,3,0.6203820896089487
130,0,0,0,3,0.15192989304337612
131,0,0,0,3,0.08962606919951503
132,0,0,0,3,0.4140114693435977
133,0,0,0,3,0.2501088614477486
134,0,0,0,3,0.15366503855068475
135,0,0,0,3,0.4491928371915155
136,0,0,0,3,0.21871495672923574
137,0,0,0,3,0.30572487463279086
138,0,0,0,3,0.16758684375363017
139,0,0,0,3,0.1370961954955981
140,0,0,0,3,0.15370716788255823
141,0,0,0,3,0.29025886397921624
142,0,0,0,3,0.33376983507193425
143,0,0,0,3,0.10606318374754485
144,0,0,0,3,0.4538930552449721
145,1,1,0,3,0.7655009104441715
146,0,0,0,3,0.4378613342831844
147,1,1,0,3,0.5948914981208073
148,0,0,0,3,0.2735878762020501
149,1,1,0,3,0.8481437828182058
150,0,0,0,3,0.2340016877544892
151,0,0,0,3,0.38732248158257604
152,0,1,1,3,0.49303958053493424
153,0,0,0,3,0.412735930298615
154,0,0,0,3,0.4212448552895953
155,0,0,0,3,0.2167544242894788
156,0,0,0,3,0.2619058274991175
157,0,0,0,3,0.319273011574129
158,0,0,0,3,0.12861755779543352
159,0,0,0,3,0.08454789119136646
160,0,0,0,3,0.059953877744627564
161,1,1,0,3,0.5755417502602715
162,0,0,0,3,0.10612889574743885
163,0,0,0,3,0.3460615095813985
164,0,0,0,3,0.2170457026365881
165,0,0,0,3,0.36065090637713276
166,1,0,-1,3,0.5051043590918323
167,0,0,0,3,0.08477888728078849
168,0,0,0,3,0.15281815187598796
169,0,0,0,3,0.17337044809304106
170,1,1,0,3,0.7244964160585009
171,1,0,-1,3,0.5429029978649808
172,0,0,0,3,0.1846243792745713
173,1,0,-1,3,0.5504290948579965
174,1,1,0,3,0.6393701644155373
175,1,1,0,3,0.8034977203044017
176,1,0,-1,3,0.5818664444101107
177,0,0,0,3,0.23800700795277926
178,0,0,0,3,0.40803323242864775
179,1,0,-1,3,0.5174475702203755
180,0,0,0,3,0.4153849301427997
181,1,1,0,3,0.6227390780809237
182,0,0,0,3,0.4407841882353903
183,0,0,0,3,0.17465080341031694
184,1,1,0,3,0.7994382262835931
185,0,0,0,3,0.16567038843540088
186,0,0,0,3,0.43055113897700104
187,0,0,0,3,0.16936567109762865
188,1,1,0,3,0.6609491033725627
189,0,0,0,3,0.45546838980808435
190,0,1,1,3,0.48539671902583975
191,0,0,0,3,0.25034801694847064
192,0,0,0,3,0.2436200054666459
193,0,1,1,3,0.3601660953264089
194,0,0,0,3,0.309775557850577
195,1,1,0,3,0.8723268732557103
196,0,0,0,3,0.34427596275521294
197,1,0,-1,3,0.5218820722415148
198,0,0,0,3,0.34984967382768034
199,0,0,0,3,0.39200996637020075
200,1,1,0,3,0.7766826858926401
201,0,0,0,3,0.19961920811341446
202,1,1,0,3,0.6522962462594851
203,1,1,0,3,0.6644730631706582
204,0,1,1,3,0.44389830216370946
205,0,0,0,3,0.27906081940745897
206,0,0,0,3,0.4160326595094244
207,1,1,0,3,0.591908180830065
208,1,1,0,3,0.7667591571475972
209,0,0,0,3,0.32111430681171677
210,0,0,0,3,0.4868046955447235
211,0,0,0,3,0.19668456869464543
212,1,1,0,3,0.6777196662715994
213,1,1,0,3,0.71169190529095
214,0,0,0,3,0.22933928808344503
215,0,0,0,3,0.3139415069060402
216,1,1,0,3,0.8721931141181342
217,0,0,0,3,0.4807414856285133
218,1,1,0,3,0.7404485770981813
219,1,1,0,3,0.6292769312811965
220,0,0,0,3,0.31367192111331055
221,1,1,0,3,0.6483045766662539
222,0,0,0,3,0.1865506730403184
223,0,1,1,3,0.49713822165733307
224,0,0,0,3,0.2863485600007181
225,0,0,0,3,0.32374382873064994
226,0,0,0,3,0.18613734876165047
227,0,0,0,3,0.16110753716340004
228,0,0,0,3,0.08672884896535865
229,0,0,0,3,0.47551027011233965
230,1,1,0,3,0.6748585452360862
231,0,0,0,3,0.2576551904582213
232,1,0,-1,3,0.682102127249866
233,1,1,0,3,0.5282736601209655
234,0,0,0,3,0.33565766656289575
235,0,0,0,3,0.152243026302537
236,0,0,0,3,0.17997085753246253
237,0,0,0,3,0.19614950261537473
238,0,0,0,3,0.17576035169088605
239,0,0,0,3,0.17610053404070913
240,0,0,0,3,0.26854421592362826
241,0,0,0,3,0.18434429064320357
242,0,0,0,3,0.1255479318117267
243,0,0,0,3,0.47630650662509183
244,1,1,0,3,0.5690636313638563
245,0,0,0,3,0.2962503027497755
246,1,1,0,3,0.7655009104441715
247,1,0,-1,3,0.5918358557394424
248,0,0,0,3,0.276793874017169
249,0,0,0,3,0.37475008131403587
250,1,0,-1,3,0.5280303405714897
251,1,1,0,3,0.8579678950334406
252,0,0,0,3,0.2660505351853262
253,0,0,0,3,0.4088923334614247
254,1,1,0,3,0.5951572826119899
255,1,1,0,3,0.5516835836287232
256,0,0,0,3,0.2759130179302175
257,0,0,0,3,0.1993634966624808
258,0,0,0,3,0.4391007640277573
259,0,0,0,3,0.09201913121507392
260,1,1,0,3,0.7905094474502251
261,1,1,0,3,0.6252076717059668
262,0,0,0,3,0.1994038780205416
263,1,1,0,3,0.5685315612975631
264,1,1,0,3,0.7514917989249214
265,0,0,0,3,0.323915194460133
266,1,1,0,3,0.7905094474502251
267,1,1,0,3,0.8149209158768962
268,1,1,0,3,0.5238252903967393
269,1,1,0,3,0.6391456084456342
270,1,1,0,3,0.7215892043109725
271,0,0,0,3,0.17775936214454055
272,1,1,0,3,0.7967028007669691
273,1,0,-1,3,0.5025118772074776
274,0,0,0,3,0.12466890349577608
275,1,1,0,3,0.576591150454514
276,1,1,0,3,0.5610259071559102
277,1,1,0,3,0.614695636342092
278,0,0,0,3,0.23770807439179434
279,0,0,0,3,0.4095522756301034
280,1,0,-1,3,0.5442632383955798
281,0,0,0,3,0.07742338541809596
282,1,1,0,3,0.5844618464427739
283,1,1,0,3,0.606842421989363
284,1,1,0,3,0.5493490622101084
285,0,0,0,3,0.1536495947711635
286,0,0,0,3,0.32807043483783827
287,0,0,0,3,0.2521101593651176
288,0,0,0,3,0.1653122724173929
289,1,1,0,3,0.6154375514385624
290,1,1,0,3,0.6968955051981247
291,0,1,1,3,0.40336494668496586
292,0,0,0,3,0.33590934279104945
293,1,1,0,3,0.591908180830065
294,0,0,0,3,0.23050684269052
295,0,0,0,3,0.2328607989899642
296,0,0,0,3,0.3257817090021477
297,0,0,0,3,0.1330713618386154
298,0,0,0,3,0.30883800273310047
299,0,0,0,3,0.22166714307343274
300,0,0,0,3,0.15354861956498003
301,0,0,0,3,0.19221509137901216
302,0,0,0,3,0.19592550692326863
303,1,1,0,3,0.8179069074762595
304,0,0,0,3,0.12501302736061284
305,0,1,1,3,0.36587220867827325
306,0,0,0,3,0.3626619661383975
307,0,1,1,3,0.4800467001603313
308,0,0,0,3,0.2763148482833065
309,0,0,0,3,0.2354235432474825
310,1,1,0,3,0.6744329026019792
311,1,1,0,3,0.6961383719543435
312,1,1,0,3,0.6247968761869737
313,1,1,0,3,0.5873395491547007
314,0,0,0,3,0.4747672307890322
315,1,0,-1,3,0.5662537650714075
316,1,1,0,3,0.6383421914354152
317,0,1,1,3,0.4503055427647311
318,1,1,0,3,0.5815458561807714
319,0,0,0,3,0.3811117646420272
320,0,1,1,3,0.4817490713529922
321,0,0,0,3,0.4351483152337524
322,1,1,0,3,0.6116878924450585
323,0,0,0,3,0.2897584722666318
