fold,split,F1_macro,F1_weighted,BalAcc,Acc,Precision,Recall,ROC_AUC,Acc_class_0,Acc_class_1
1,train,0.8830076465590484,0.8955253469272161,0.8865740740740742,0.8950617283950617,0.8303571428571429,0.8611111111111112,0.9645490397805212,0.9120370370370371,0.8611111111111112
1,valid,0.712511091393079,0.7471162377994677,0.7083333333333334,0.75,0.6363636363636364,0.5833333333333334,0.8333333333333333,0.8333333333333334,0.5833333333333334
2,train,0.8781954887218044,0.8902255639097743,0.8888888888888888,0.8888888888888888,0.8,0.8888888888888888,0.9600694444444444,0.8888888888888888,0.8888888888888888
2,valid,0.6989966555183946,0.7268673355629878,0.7083333333333333,0.7222222222222222,0.5714285714285714,0.6666666666666666,0.7916666666666667,0.75,0.6666666666666666
3,train,0.8542174600018835,0.8687657175942881,0.8634259259259259,0.8672839506172839,0.773109243697479,0.8518518518518519,0.9559327846364882,0.875,0.8518518518518519
3,valid,0.5909090909090908,0.6212121212121212,0.6041666666666667,0.6111111111111112,0.4375,0.5833333333333334,0.6545138888888888,0.625,0.5833333333333334
4,train,0.8578947368421053,0.8719298245614037,0.8680555555555556,0.8703703703703703,0.775,0.8611111111111112,0.9548396776406036,0.875,0.8611111111111112
4,valid,0.6782522343594837,0.7288977159880835,0.6666666666666666,0.75,0.7142857142857143,0.4166666666666667,0.7777777777777778,0.9166666666666666,0.4166666666666667
5,train,0.8813397930247888,0.8931813980418625,0.8912037037037037,0.8919753086419753,0.8067226890756303,0.8888888888888888,0.9574331275720165,0.8935185185185185,0.8888888888888888
5,valid,0.6824378508420208,0.7030205827318898,0.7083333333333333,0.6944444444444444,0.5294117647058824,0.75,0.7708333333333334,0.6666666666666666,0.75
6,train,0.8609980432576099,0.8748696377061818,0.8703703703703705,0.8734567901234568,0.7815126050420168,0.8611111111111112,0.9533822016460904,0.8796296296296297,0.8611111111111112
6,valid,0.7401764234161989,0.7570168404170007,0.7708333333333334,0.75,0.5882352941176471,0.8333333333333334,0.7951388888888888,0.7083333333333334,0.8333333333333334
7,train,0.8620947397925816,0.8752893788865012,0.875,0.8734567901234568,0.7723577235772358,0.8796296296296297,0.9548396776406036,0.8703703703703703,0.8796296296296297
7,valid,0.75,0.7777777777777778,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.8645833333333334,0.8333333333333334,0.6666666666666666
8,train,0.8672340425531915,0.8807565011820332,0.875,0.8796296296296297,0.7948717948717948,0.8611111111111112,0.9549897119341564,0.8888888888888888,0.8611111111111112
8,valid,0.6727272727272727,0.7151515151515153,0.6666666666666667,0.7222222222222222,0.6,0.5,0.7864583333333333,0.8333333333333334,0.5
9,train,0.881814676240998,0.8933657109705301,0.8935185185185185,0.8919753086419753,0.8016528925619835,0.8981481481481481,0.9557398834019204,0.8888888888888888,0.8981481481481481
9,valid,0.6629787234042553,0.6973049645390071,0.6666666666666667,0.6944444444444444,0.5384615384615384,0.5833333333333334,0.7465277777777778,0.75,0.5833333333333334
10,train,0.8646616541353384,0.8780284043441938,0.875,0.8765432098765432,0.7833333333333333,0.8703703703703703,0.9553112139917697,0.8796296296296297,0.8703703703703703
10,valid,0.6727272727272727,0.7151515151515153,0.6666666666666667,0.7222222222222222,0.6,0.5,0.9027777777777778,0.8333333333333334,0.5
