feature,importance
fp_695,0.04377054667524343
fp_33,0.03338185308575364
fp_969,0.030686524526589945
fp_664,0.026081878183474443
fp_247,0.021742736606793305
fp_147,0.021586494289074273
fp_227,0.021561136038671526
fp_170,0.02150194501746815
fp_893,0.020939698872897584
fp_650,0.020015201693193384
fp_1,0.019670781560401102
fp_80,0.01785381960529705
fp_863,0.01707790751126075
fp_931,0.016428599176300518
fp_807,0.0155278511482935
fp_645,0.01525108034608788
fp_458,0.01412413199099598
fp_172,0.013813331073826044
fp_983,0.012020587750028955
fp_222,0.01186003460020857
fp_356,0.010735810577555911
fp_270,0.01028351890035307
fp_93,0.009932909934761645
fp_564,0.009603108428277102
fp_610,0.009567635984034269
fp_319,0.00953434309697329
fp_697,0.00931975153201443
fp_926,0.009318405314534246
fp_119,0.009313653217762619
fp_264,0.008527281744221156
fp_389,0.00814507339033388
fp_849,0.00801084602692024
fp_573,0.007962815904376317
fp_322,0.007522078078538782
fp_897,0.0074097152564721195
fp_886,0.00740324737103243
fp_785,0.007357048914081779
fp_726,0.007337081635704455
fp_848,0.0072187256768355
fp_128,0.00696398908523454
fp_740,0.006928607349576197
fp_225,0.0068949968750578175
fp_274,0.006784569971441608
fp_623,0.006202886868341883
fp_13,0.006162253508220571
fp_722,0.00612764834318626
fp_295,0.006041636730165165
fp_656,0.0060311724454490435
fp_233,0.005963830021979245
fp_357,0.005944455860107642
fp_299,0.005842285036352616
fp_53,0.005704616949534992
fp_820,0.0055929425713214
fp_680,0.005576912959259406
fp_463,0.005530333988820202
fp_655,0.005398093621157528
fp_739,0.005391065750082116
fp_634,0.005376086373002664
fp_525,0.005015264753547709
fp_829,0.004977097215131058
fp_540,0.0049412940248341735
fp_957,0.004914080490799283
fp_527,0.004863497882366095
fp_929,0.004722907172942029
fp_283,0.004695449575951125
fp_1019,0.004688706427597019
fp_466,0.004303720597159514
fp_443,0.004257693561137619
fp_115,0.004205684536970331
fp_143,0.004150788591045057
fp_41,0.0040667155327371455
fp_117,0.004033648710140124
fp_576,0.004009491319611278
fp_332,0.0039013113944896425
fp_852,0.003803531234223492
fp_326,0.003787354469130073
fp_935,0.003777985868704998
fp_197,0.003598929409268051
fp_507,0.0035366724554996717
fp_590,0.00350218963949234
fp_452,0.003491517376781124
fp_243,0.003449334169012168
fp_453,0.0034026200458304526
fp_694,0.0033885096659367203
fp_4,0.0033177489238452266
fp_953,0.0031149717469008227
fp_202,0.003031391734256996
fp_416,0.0030174933601644026
fp_869,0.002903796056359748
fp_492,0.0028837059512483083
fp_481,0.002877109528219272
fp_887,0.0028390118986220507
fp_960,0.00283621178264882
fp_501,0.0028222025962518302
fp_392,0.0027902223352333504
fp_482,0.0026886634636768846
fp_673,0.0026726705005816866
fp_259,0.0026663166048817117
fp_1017,0.0025864770979631747
fp_208,0.002553416185920617
fp_112,0.002516053617085496
fp_114,0.002486262823922855
fp_188,0.002359380414257659
fp_489,0.0023532292426496565
fp_183,0.0022880895002746213
fp_217,0.002221117803652884
fp_268,0.0022156236256650618
fp_736,0.0020956079990998794
fp_980,0.0020527726616112133
fp_354,0.0020468403854940437
fp_532,0.0020409285948585904
fp_667,0.0019720445957524847
fp_265,0.0019023772115754978
fp_276,0.0018939701075227572
fp_173,0.0018655016697831895
fp_456,0.00184334078748142
fp_59,0.001810492685280215
fp_872,0.0018030933158165619
fp_29,0.0017737199615127164
fp_493,0.0017735236039143937
fp_54,0.0017587551102409987
fp_846,0.001757289038944785
fp_94,0.001757126491419307
fp_210,0.001741703743520651
fp_140,0.0017009967508619184
fp_235,0.0016587746492194898
fp_526,0.0016303125490634816
fp_896,0.0016247527110358035
fp_400,0.0016148251504698964
fp_269,0.0015974343924464076
fp_707,0.0015853672127355749
fp_679,0.0015649634533106435
fp_242,0.0015636194026627437
fp_200,0.0015582246315578396
fp_387,0.001555150289510402
fp_155,0.0015391813853163415
fp_245,0.001517092420332918
fp_111,0.0014567179413719354
fp_904,0.001448219318744552
fp_1009,0.0014360031913129418
fp_968,0.0013872608929925163
fp_734,0.001353933498671672
fp_151,0.0013189654993345284
fp_731,0.001310072507856213
fp_417,0.0012940396136440267
fp_238,0.0012679606885391147
fp_749,0.0012489413637420798
fp_939,0.0012425369120107781
fp_234,0.0012353572324984357
fp_572,0.0012062469013541758
fp_551,0.0011974519266661368
fp_816,0.0011835213994136106
fp_686,0.0011315759876025845
fp_371,0.001128090046989966
fp_877,0.0011248403452345
fp_981,0.0010825213315752787
fp_862,0.0010795245404004632
fp_533,0.0010790862940323683
fp_1002,0.0010442914767775297
fp_932,0.000987040951469129
fp_487,0.0009797671340884212
fp_770,0.0009550876264736407
fp_598,0.0008704844210836087
fp_58,0.0008640484881286866
fp_837,0.0008587801183298209
fp_531,0.0008570826720538199
fp_359,0.0008447933784589291
fp_301,0.0008432505479948704
fp_248,0.0008199948824727152
fp_715,0.0008146227917814942
fp_292,0.0008042684396925728
fp_603,0.0007825408149910493
fp_997,0.0007823830682631283
fp_712,0.0007806205461265429
fp_406,0.0007710101058550579
fp_390,0.0007707956014645432
fp_804,0.0007642724950935728
fp_825,0.0007616587103085598
fp_271,0.000741765792873185
fp_901,0.0007395723844017862
fp_89,0.0007349873392785356
fp_39,0.0007241686549659679
fp_677,0.0007180150681984455
fp_341,0.0007165543979284997
fp_135,0.0007105176504938775
fp_323,0.0006983886652257091
fp_240,0.0006945092554688477
fp_329,0.0006905869528689725
fp_748,0.0006876390214898559
fp_866,0.0006866731046159835
fp_37,0.000672451222127611
fp_616,0.0006636753867448801
fp_763,0.0006573904637161148
fp_518,0.0006557300651932221
fp_836,0.0006394100366865571
fp_469,0.0006157545222492325
fp_808,0.0006033964976357445
fp_494,0.0005906467833431898
fp_719,0.0005903477257863196
fp_191,0.0005855679509493675
fp_17,0.000575818901231367
fp_596,0.0005596180275638503
fp_163,0.0005485825449181435
fp_108,0.0005460597392755982
fp_159,0.0005407118260428676
fp_498,0.0005338328932801655
fp_781,0.0005333127679712018
fp_812,0.0005233746233958268
fp_483,0.0005159157352996151
fp_369,0.0004984633697936694
fp_586,0.0004914154858009723
fp_450,0.00047739110207045487
fp_349,0.0004756164181536169
fp_78,0.0004626250648999424
fp_464,0.00044691960416893916
fp_407,0.00044303889062141975
fp_828,0.000442977840522806
fp_857,0.0004203072823699607
fp_597,0.0004067704606289093
fp_587,0.0003970458134748875
fp_497,0.0003903163243858574
fp_355,0.0003853973397406955
fp_684,0.00038288160215016313
fp_81,0.00037249926462969894
fp_689,0.0003696800373514635
fp_454,0.00036884106127706465
fp_104,0.0003676853216755469
fp_156,0.00036049898203216376
fp_312,0.00035980563368204134
fp_744,0.00035782139367913473
fp_168,0.00035058305228612775
fp_979,0.0003393872681222218
fp_584,0.000313353542522492
fp_894,0.00029986790628825326
fp_798,0.00029420454103787705
fp_64,0.0002749602551161351
fp_713,0.0002720755655564469
fp_418,0.0002711075874836586
fp_446,0.0002694521303221828
