idx,y_pred,y_true,residual
0,5.247430,5.698970,-0.451540
1,3.896344,3.049218,0.847126
2,3.896308,2.903090,0.993218
3,4.958933,2.954243,2.004690
4,5.266824,3.908485,1.358339
5,4.629850,3.322219,1.307631
6,4.911973,5.301030,-0.389057
7,5.104256,4.086360,1.017896
8,5.296805,6.035710,-0.738905
9,4.971095,5.954243,-0.983148
11,4.447835,5.742725,-1.294890
12,4.202362,3.661813,0.540549
13,4.779613,3.505150,1.274463
14,4.439415,5.094820,-0.655405
15,4.726895,3.397940,1.328955
16,5.078290,3.832509,1.245781
17,5.525511,5.602060,-0.076549
18,4.178315,5.238046,-1.059731
19,3.728356,3.079181,0.649175
20,3.527264,3.823474,-0.296211
21,4.305345,3.838849,0.466496
22,4.235395,3.505150,0.730246
23,4.643030,6.041393,-1.398363
24,5.124163,3.881385,1.242778
25,5.015864,5.576341,-0.560477
26,6.628281,6.823539,-0.195259
27,6.510014,6.397940,0.112074
28,6.277712,6.707570,-0.429859
29,6.698876,6.397940,0.300936
30,5.653347,6.558709,-0.905361
31,5.653311,6.107549,-0.454238
32,5.582465,4.193681,1.388784
33,6.338807,5.929419,0.409389
34,6.179619,6.531479,-0.351860
35,6.325052,6.414973,-0.089921
36,5.998842,6.372912,-0.374070
37,6.380500,6.384891,-0.004391
38,5.922560,6.325844,-0.403284
39,7.352733,7.000000,0.352733
40,6.507516,6.875061,-0.367545
42,6.778646,7.079181,-0.300535
43,5.419282,4.072985,1.346297
44,5.592051,5.113943,0.478108
45,3.998339,5.096910,-1.098571
46,5.258437,5.342423,-0.083985
47,6.019995,6.240549,-0.220554
49,6.029222,6.255273,-0.226051
50,5.448998,5.023541,0.425458
51,5.690840,6.313867,-0.623028
52,6.174596,6.361728,-0.187132
53,6.165246,6.602060,-0.436814
54,5.604263,6.649335,-1.045072
55,6.165173,6.041393,0.123780
56,5.508861,5.901295,-0.392434
57,5.263388,6.447158,-1.183770
58,5.840639,4.681241,1.159397
59,6.016476,5.815046,0.201430
60,5.291773,4.992819,0.298955
61,4.129376,3.204120,0.925256
62,6.089049,6.875061,-0.786013
63,6.569970,6.890980,-0.321009
64,6.185371,6.000000,0.185371
65,5.039247,4.500374,0.538873
66,6.020214,6.397940,-0.377726
67,6.238779,6.447158,-0.208379
68,5.471664,7.267172,-1.795508
69,5.930127,5.045714,0.884413
70,6.216763,6.230449,-0.013686
71,4.109348,4.127105,-0.017757
72,5.869418,6.000000,-0.130582
73,6.423022,5.715167,0.707855
74,6.017073,6.024046,-0.006973
75,2.403573,3.645422,-1.241849
76,4.064654,3.146128,0.918526
77,2.403500,2.875061,-0.471561
78,3.640279,3.301030,0.339249
79,3.882120,3.313867,0.568253
80,4.356562,5.905796,-1.549234
81,4.030353,2.698970,1.331383
82,3.454777,4.146128,-0.691351
84,3.775838,2.653213,1.122626
85,4.207829,2.108903,2.098926
86,3.979274,3.778151,0.201123
87,3.979238,3.301030,0.678208
89,4.431364,4.431364,0.000000
90,3.964355,4.423246,-0.458891
91,4.376687,4.431364,-0.054677
92,4.268388,5.544068,-1.275680
93,4.211530,3.000000,1.211530
94,4.430096,3.158362,1.271733
95,3.648154,2.740363,0.907792
97,6.036776,5.375093,0.661684
98,6.272086,6.361728,-0.089641
99,6.027404,6.409933,-0.382529
100,6.856562,6.477121,0.379441
101,6.335259,7.021189,-0.685930
102,5.456408,3.413300,2.043108
103,5.333311,4.260071,1.073240
104,6.236757,6.000000,0.236757
105,6.171452,6.740363,-0.568911
106,6.457880,6.099232,0.358649
107,6.318992,6.431364,-0.112371
108,5.759536,4.646404,1.113132
109,6.239608,6.142702,0.096906
110,6.307552,6.431364,-0.123811
111,6.267758,6.192584,0.075174
112,6.185749,6.238046,-0.052298
113,6.181678,6.950851,-0.769173
114,6.184973,4.819544,1.365429
115,5.800148,4.716504,1.083643
116,6.172255,6.612784,-0.440529
117,6.039130,5.716003,0.323127
118,6.451251,6.397940,0.053311
119,5.746364,6.077259,-0.330895
120,6.223126,6.614897,-0.391771
121,5.280239,5.009026,0.271214
122,5.515761,5.373831,0.141930
123,5.845828,6.477121,-0.631294
124,5.847539,4.862251,0.985288
125,6.185901,6.466868,-0.280967
127,6.184633,6.079181,0.105451
128,5.833956,6.146128,-0.312172
130,5.794676,6.768638,-0.973962
132,6.092635,5.507073,0.585562
133,5.304321,5.083610,0.220711
134,6.098349,6.156852,-0.058502
135,6.576653,5.676694,0.899959
136,7.258377,7.252853,0.005524
137,6.392144,6.301030,0.091114
138,6.245073,6.477121,-0.232048
139,6.145780,6.361728,-0.215948
141,5.504354,4.396199,1.108154
143,6.171274,5.195457,0.975817
144,6.245280,5.643551,0.601729
145,5.463338,6.016197,-0.552859
146,6.472677,6.079181,0.393496
148,5.478056,6.000000,-0.521944
149,4.047822,4.113943,-0.066121
150,5.579800,6.577492,-0.997692
151,6.684084,5.472756,1.211328
152,6.359413,6.334454,0.024959
153,6.362457,7.276921,-0.914464
154,4.839354,4.819544,0.019810
157,7.179126,7.477121,-0.297995
159,7.395675,7.477121,-0.081446
160,6.631743,6.320146,0.311596
161,6.398275,6.397940,0.000335
162,6.177157,6.113943,0.063214
163,6.631634,6.201397,0.430237
165,6.469102,6.474216,-0.005114
166,6.335977,6.004136,0.331841
167,6.498345,6.477121,0.021223
168,6.142820,6.434888,-0.292068
169,6.874045,8.122544,-1.248498
170,6.381183,6.281033,0.100149
171,6.001886,5.953421,0.048465
172,5.775811,6.518514,-0.742702
173,6.468408,6.556423,-0.088015
174,6.387344,6.348305,0.039039
175,-0.357478,1.954243,-2.311720
176,2.163581,2.602060,-0.438479
177,2.257972,1.301030,0.956942
180,2.781900,2.146128,0.635772
182,2.983461,1.390935,1.592526
183,3.514028,2.955207,0.558822
184,2.974074,3.562293,-0.588219
185,2.649612,1.926857,0.722756
186,3.435027,1.146128,2.288899
187,3.257906,2.851258,0.406648
189,3.539452,3.539452,-0.000000
190,2.825304,1.380211,1.445093
191,2.618209,2.273233,0.344976
192,1.848221,2.579784,-0.731563
193,2.265884,0.633468,1.632416
194,4.872877,6.079181,-1.206304
196,4.872804,6.232234,-1.359429
197,4.932849,3.247973,1.684875
198,5.114609,6.302547,-1.187938
199,5.598366,4.598572,0.999794
200,4.792082,4.812913,-0.020832
201,4.829941,3.562293,1.267648
202,5.588942,6.806180,-1.217238
203,4.932630,5.782473,-0.849842
204,4.987371,6.054958,-1.067587
205,6.064451,6.151247,-0.086796
206,5.509759,3.903633,1.606126
207,4.463198,6.501059,-2.037861
208,5.030417,4.892762,0.137655
210,4.895615,3.480007,1.415608
211,4.466796,4.336460,0.130337
212,5.295992,5.000000,0.295992
213,5.699248,6.000000,-0.300752
215,2.133531,1.778151,0.355379
216,3.008997,2.400538,0.608459
217,4.573503,3.000000,1.573503
218,4.034264,3.653213,0.381052
219,4.800678,5.000000,-0.199322
220,5.484873,5.149219,0.335654
221,3.429612,4.101747,-0.672135
222,5.870243,6.255273,-0.385029
223,5.821347,6.361728,-0.540380
224,6.372556,6.421604,-0.049048
225,6.500950,6.176091,0.324859
226,6.419483,6.113943,0.305539
227,6.338419,6.313867,0.024551
228,6.262512,6.544068,-0.281556
229,6.191850,5.993877,0.197973
230,6.312671,6.544068,-0.231397
231,6.022580,6.187521,-0.164941
232,5.871239,6.526985,-0.655746
233,6.432303,6.100371,0.331933
234,4.815759,5.806180,-0.990421
235,5.684594,5.093422,0.591173
236,4.850557,3.963788,0.886769
237,5.543563,6.075145,-0.531582
238,6.888810,7.146128,-0.257318
239,4.708190,4.792392,-0.084201
240,6.601749,6.863323,-0.261574
241,6.222478,6.531479,-0.309001
242,6.079702,4.472025,1.607677
244,6.075784,6.266114,-0.190330
245,3.515619,3.397940,0.117679
246,6.231596,6.109916,0.121680
247,6.448756,6.539076,-0.090320
248,6.225476,6.342817,-0.117342
249,3.035777,2.079181,0.956596
250,5.651263,5.202352,0.448911
251,6.401612,6.409764,-0.008152
252,6.767404,6.477121,0.290283
253,6.431576,6.137927,0.293650
254,6.431540,6.450711,-0.019171
255,6.566054,6.604226,-0.038172
256,6.716399,6.187521,0.528878
257,6.705373,6.278754,0.426620
258,6.434427,6.518514,-0.084086
259,5.967381,4.342423,1.624959
260,6.380604,5.651762,0.728842
261,6.174900,6.301969,-0.127069
262,6.788961,6.903090,-0.114129
263,6.016320,5.983175,0.033145
264,6.615543,6.587711,0.027832
265,6.615506,6.584331,0.031175
266,5.312545,5.229426,0.083120
267,5.895539,6.136721,-0.241181
268,6.366965,5.000000,1.366965
269,6.067613,6.531479,-0.463866
270,5.681334,4.292256,1.389078
271,6.379501,6.371068,0.008433
272,6.330777,6.305351,0.025426
273,6.366784,6.477121,-0.110338
274,6.782715,6.894106,-0.111391
275,6.173178,6.477121,-0.303944
276,5.628571,6.530840,-0.902268
277,6.715636,6.397940,0.317695
278,5.715657,5.681241,0.034416
279,6.614997,6.173186,0.441811
280,5.964444,6.591065,-0.626621
281,7.242254,7.074451,0.167804
283,6.539502,6.505150,0.034352
284,5.680577,5.549003,0.131574
285,6.212472,6.190332,0.022140
286,6.365855,6.196729,0.169126
287,4.974117,4.968483,0.005634
288,6.026396,6.568202,-0.541806
289,5.393173,4.913814,0.479359
292,6.106039,6.491362,-0.385322
293,5.798471,6.209515,-0.411044
295,6.332295,6.361728,-0.029432
297,6.470379,6.426511,0.043867
298,6.200820,6.095030,0.105790
299,6.409451,6.223080,0.186370
300,6.404054,6.456366,-0.052312
301,5.473932,5.802774,-0.328842
302,6.343324,6.397940,-0.054616
303,6.362953,5.603642,0.759311
304,6.114078,6.206826,-0.092748
305,6.032694,6.342423,-0.309729
306,5.604567,6.301030,-0.696463
307,5.969538,6.505150,-0.535612
309,7.090190,7.100371,-0.010180
310,5.709163,5.836197,-0.127034
311,5.389432,6.054709,-0.665277
313,5.586574,6.133644,-0.547070
314,5.679734,6.322219,-0.642485
315,5.679698,5.880814,-0.201116
316,5.359034,6.477121,-1.118087
317,5.583017,4.602060,0.980957
318,6.012305,6.025306,-0.013001
319,5.261359,5.477121,-0.215762
320,5.681106,6.505150,-0.824044
321,5.679480,6.812913,-1.133433
322,5.547416,5.178977,0.368439
324,5.463217,6.158393,-0.695176
325,4.609282,4.477121,0.132161
327,6.427452,6.086360,0.341092
329,6.040323,6.319314,-0.278992
330,6.520270,6.477121,0.043149
331,5.962590,6.374198,-0.411608
332,6.024301,6.397940,-0.373639
334,6.378539,5.528917,0.849622
335,6.072914,6.568202,-0.495288
336,5.699907,5.000000,0.699907
337,5.146323,6.079181,-0.932858
338,5.859616,4.814913,1.044703
339,5.772004,5.081707,0.690297
340,5.900218,6.384712,-0.484494
342,6.405374,5.671173,0.734201
343,6.003593,6.278754,-0.275160
344,5.582035,6.284656,-0.702621
345,5.711352,6.356026,-0.644674
