idx,y_pred,y_true,residual
0,5.262344,5.698970,-0.436626
1,3.856295,3.049218,0.807077
2,3.856301,2.903090,0.953211
3,4.918643,2.954243,1.964401
4,5.204592,3.908485,1.296107
5,4.551748,3.322219,1.229529
6,4.896152,5.301030,-0.404878
7,5.057369,4.086360,0.971009
8,5.443655,6.035710,-0.592055
9,4.943064,5.954243,-1.011178
10,5.415096,3.949390,1.465706
11,4.338912,5.742725,-1.403813
12,4.083591,3.661813,0.421778
13,4.712405,3.505150,1.207255
14,4.473076,5.094820,-0.621745
16,4.980751,3.832509,1.148242
17,5.367483,5.602060,-0.234577
18,4.131786,5.238046,-1.106260
19,3.808572,3.079181,0.729391
20,3.453145,3.823474,-0.370329
21,4.300072,3.838849,0.461223
22,4.157133,3.505150,0.651983
23,4.750676,6.041393,-1.290716
24,4.973241,3.881385,1.091856
25,4.894311,5.576341,-0.682031
26,6.357116,6.823539,-0.466424
27,6.533499,6.397940,0.135559
28,6.281708,6.707570,-0.425862
29,6.692659,6.397940,0.294719
30,5.794269,6.558709,-0.764440
31,5.794276,6.107549,-0.313273
32,5.870102,4.193681,1.676421
33,6.326668,5.929419,0.397250
34,6.153934,6.531479,-0.377544
35,6.292639,6.414973,-0.122334
36,6.079297,6.372912,-0.293615
37,6.383383,6.384891,-0.001508
38,5.889334,6.325844,-0.436510
39,7.398228,7.000000,0.398228
40,6.483428,6.875061,-0.391634
41,6.612259,6.835056,-0.222797
42,7.177899,7.079181,0.098718
45,4.613226,5.096910,-0.483684
46,5.826107,5.342423,0.483684
47,5.981284,6.240549,-0.259265
48,4.243577,5.278754,-1.035177
49,5.947847,6.255273,-0.307425
50,5.396045,5.023541,0.372504
51,5.614403,6.313867,-0.699465
52,6.001198,6.361728,-0.360530
53,6.120023,6.602060,-0.482037
54,5.648730,6.649335,-1.000605
55,6.120037,6.041393,0.078645
57,5.146238,6.447158,-1.300920
58,5.775053,4.681241,1.093812
59,5.920098,5.815046,0.105052
60,5.157038,4.992819,0.164219
61,4.096406,3.204120,0.892286
