idx,y_pred,y_true,residual
202,5.595958,6.806180,-1.210222
203,4.944122,5.782473,-0.838351
204,4.713494,6.054958,-1.341464
205,6.251456,6.151247,0.100209
206,5.558077,3.903633,1.654444
207,4.432628,6.501059,-2.068432
208,5.194057,4.892762,0.301295
209,7.189618,7.068186,0.121432
210,4.945641,3.480007,1.465634
211,4.275156,4.336460,-0.061303
212,5.077581,5.000000,0.077581
213,5.792956,6.000000,-0.207044
214,3.625411,5.445604,-1.820193
215,2.200345,1.778151,0.422194
216,2.931174,2.400538,0.530636
217,4.706027,3.000000,1.706027
218,4.693578,3.653213,1.040365
219,4.827120,5.000000,-0.172880
220,5.500886,5.149219,0.351667
221,3.395011,4.101747,-0.706736
222,5.950421,6.255273,-0.304851
223,5.748064,6.361728,-0.613663
224,6.439133,6.421604,0.017529
225,6.462936,6.176091,0.286845
226,6.427507,6.113943,0.313563
227,6.348475,6.313867,0.034608
228,6.261409,6.544068,-0.282659
229,6.278915,5.993877,0.285038
230,6.290899,6.544068,-0.253169
231,6.047453,6.187521,-0.140068
232,6.097194,6.526985,-0.429791
233,6.384865,6.100371,0.284494
235,5.701567,5.093422,0.608145
236,4.720424,3.963788,0.756636
237,5.316942,6.075145,-0.758204
238,6.872714,7.146128,-0.273415
239,4.773875,4.792392,-0.018517
240,6.580940,6.863323,-0.282383
241,6.191216,6.531479,-0.340263
242,6.083991,4.472025,1.611966
243,5.695105,5.315970,0.379135
244,6.075247,6.266114,-0.190867
245,3.465312,3.397940,0.067372
246,6.206737,6.109916,0.096821
247,6.400254,6.539076,-0.138823
248,6.517734,6.342817,0.174916
249,2.988278,2.079181,0.909097
250,5.659145,5.202352,0.456793
251,6.411836,6.409764,0.002072
252,6.704380,6.477121,0.227259
253,6.384720,6.137927,0.246794
254,6.384713,6.450711,-0.065998
255,6.337081,6.604226,-0.267145
256,6.621046,6.187521,0.433526
257,6.500486,6.278754,0.221733
258,6.410902,6.518514,-0.107612
259,5.933132,4.342423,1.590709
260,6.276841,5.651762,0.625079
261,6.175006,6.301969,-0.126963
262,6.733876,6.903090,-0.169214
263,5.899593,5.983175,-0.083582
265,6.645340,6.584331,0.061009
266,4.974273,5.229426,-0.255153
267,5.859604,6.136721,-0.277116
268,6.321078,5.000000,1.321078
269,6.056676,6.531479,-0.474803
270,5.831853,4.292256,1.539597
271,6.485611,6.371068,0.114543
272,6.001407,6.305351,-0.303945
273,6.321042,6.477121,-0.156079
274,6.852533,6.894106,-0.041572
275,6.401394,6.477121,-0.075727
276,5.748961,6.530840,-0.781879
277,6.620895,6.397940,0.222955
279,6.645239,6.173186,0.472053
280,6.051690,6.591065,-0.539375
281,7.694364,7.074451,0.619913
282,6.189579,6.486487,-0.296908
283,6.524146,6.505150,0.018996
285,6.230572,6.190332,0.040240
286,6.424880,6.196729,0.228152
287,4.988157,4.968483,0.019674
288,5.961373,6.568202,-0.606829
289,5.504309,4.913814,0.590495
290,6.320919,6.207581,0.113339
291,6.620794,6.225309,0.395484
292,6.514607,6.491362,0.023245
293,6.263343,6.209515,0.053828
294,6.384424,6.230449,0.153975
295,6.312872,6.361728,-0.048856
296,6.174280,5.089905,1.084374
297,6.259496,6.426511,-0.167015
298,5.831020,6.095030,-0.264010
299,6.362733,6.223080,0.139653
300,6.329713,6.456366,-0.126653
301,5.493599,5.802774,-0.309175
302,5.694679,6.397940,-0.703261
303,5.545583,5.603642,-0.058059
304,5.986409,6.206826,-0.220416
305,5.829692,6.342423,-0.512731
306,5.589676,6.301030,-0.711354
307,5.700157,6.505150,-0.804993
308,6.139820,6.176091,-0.036271
309,7.107064,7.100371,0.006693
310,5.668946,5.836197,-0.167251
311,5.306079,6.054709,-0.748630
312,6.649796,6.477121,0.172674
313,5.752490,6.133644,-0.381155
314,5.831535,6.322219,-0.490684
315,5.831528,5.880814,-0.049285
316,5.310053,6.477121,-1.167068
317,5.714781,4.602060,1.112721
318,5.862312,6.025306,-0.162994
319,5.112747,5.477121,-0.364374
320,5.666264,6.505150,-0.838886
321,5.831485,6.812913,-0.981429
322,5.658631,5.178977,0.479654
323,5.486535,5.365488,0.121047
324,5.318510,6.158393,-0.839883
325,4.674977,4.477121,0.197856
326,5.675444,4.453624,1.221820
327,6.471341,6.086360,0.384982
328,6.209496,6.086360,0.123136
330,6.434084,6.477121,-0.043037
331,6.051322,6.374198,-0.322876
332,5.994739,6.397940,-0.403201
333,5.180142,5.187521,-0.007379
334,6.264597,5.528917,0.735681
335,6.002437,6.568202,-0.565764
336,5.614454,5.000000,0.614454
337,5.327404,6.079181,-0.751777
339,5.890616,5.081707,0.808909
340,5.919145,6.384712,-0.465566
341,6.052902,6.342423,-0.289521
342,6.381013,5.671173,0.709840
343,5.488795,6.278754,-0.789959
344,5.714586,6.284656,-0.570070
345,5.667586,6.356026,-0.688440
346,5.212055,5.671173,-0.459118
348,4.988697,5.000000,-0.011303
349,5.619588,5.852175,-0.232587
350,5.496313,5.397940,0.098373
351,6.039028,6.139879,-0.100851
352,6.233413,6.273487,-0.040075
353,6.320106,6.320624,-0.000517
354,5.633289,6.602060,-0.968771
355,6.282598,6.337459,-0.054861
356,6.327664,6.301030,0.026634
358,6.250882,6.454845,-0.203963
359,6.737611,8.146128,-1.408517
360,5.653778,4.582063,1.071715
361,6.624106,6.272306,0.351800
362,6.737589,5.728256,1.009333
363,6.142884,5.717171,0.425713
