cluster_file,total,SR_ge_9,YM_100_2000,prob_SR,prob_YM
cluster_0.csv,248,0,3,0.0,0.012096774193548387
cluster_1.csv,352,33,8,0.09375,0.022727272727272728
cluster_2.csv,251,13,17,0.05179282868525897,0.06772908366533864
cluster_3.csv,68,12,7,0.17647058823529413,0.10294117647058823
cluster_4.csv,225,2,3,0.008888888888888889,0.013333333333333334
cluster_5.csv,147,7,8,0.047619047619047616,0.05442176870748299
