SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
O=C([*])C(C)O[*],CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,,7.146128035678238,10.1002_pen.25388_part_2.txt_段1_Material1,,14000000.000000006
O=C([*])C(C)O[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,5.202352067809752,10.1016_j.msec.2020.111418_part_1.txt_段1_Material1,,159350.00000000015
O=C([*])C(C)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,5.651762447380111,10.1002_pat.4649_part_3.txt_段1_Material1,,448500.00000000047
O=C([*])C(C)O[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.209515014542631,10.1021_acssuschemeng.0c09413_part_2.txt_段1_Material1,,1619999.9999999993
O=C([*])C(C)O[*],[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,,6.456366033129043,10.1016_j.matlet.2019.05.041_part_1.txt_段1_Material1,,2859999.9999999977
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*],,6.139879086401237,10.1016_j.eurpolymj.2016.10.019_part_2.txt_段1_Material3,,1380000.0000000014
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)[*],,6.273487409697184,10.4028_www.scientific.net_kem.773.311_part_1.txt_段1_Material1,,1877100.0000000007
O=C([*])C(C)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,6.337459261290656,10.1088_1757-899x_701_1_012055_part_1.txt_段1_Material1,,2174999.999999998
O=C([*])C(C)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.45484486000851,10.3390_app11136218_part_2.txt_段1_Material2,,2850000.0
O=C([*])C(C)O[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.387211800313731,10.3144_expresspolymlett.2020.76_part_3.txt_段1_Material1,,2439000.0
O=C([*])CCCCCN[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.32221929473392,10.1016_j.compositesb.2018.08.106_part_1.txt_段1_Material1,,2100000.0000000056
O=C([*])CCCCCN[*],[*]CC(C1=CC=CC=C1)[*],,5.4446692309385245,10.3390_ma11050776_part_2.txt_段1_Material1,,278400.0
O=C([*])CCCCCN[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,6.063145637106638,10.1016_j.matdes.2011.08.028_part_2.txt_段1_Material2,,1156499.9999999998
O=C([*])CCCCCN[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,5.373500477967874,10.1002_app.41381_part_2.txt_段1_Material1,,236319.9999999999
O=C1CCCN1C([*])C[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.491361693834273,10.1007_s12221-018-8308-7_part_1.txt_段1_Material1,,3100000.000000003
