idx,y_pred,y_true,residual
0,5.195964,5.698970,-0.503006
1,3.805806,3.049218,0.756588
2,3.805804,2.903090,0.902714
3,4.923976,2.954243,1.969733
4,5.220671,3.908485,1.312186
5,4.569799,3.322219,1.247580
6,4.829218,5.301030,-0.471812
7,5.022625,4.086360,0.936265
8,5.385114,6.035710,-0.650595
9,4.929267,5.954243,-1.024975
10,5.378900,3.949390,1.429510
11,4.390020,5.742725,-1.352705
12,4.127884,3.661813,0.466071
13,4.731417,3.505150,1.226267
14,4.346825,5.094820,-0.747995
15,4.679263,3.397940,1.281323
16,4.995745,3.832509,1.163236
17,5.423421,5.602060,-0.178639
18,4.040375,5.238046,-1.197671
19,3.782983,3.079181,0.703802
20,3.459817,3.823474,-0.363657
21,4.358898,3.838849,0.520049
22,4.212148,3.505150,0.706998
24,5.065151,3.881385,1.183766
25,4.891177,5.576341,-0.685165
26,6.843506,6.823539,0.019967
27,6.616788,6.397940,0.218848
28,6.334746,6.707570,-0.372825
31,5.489502,6.107549,-0.618047
33,6.336267,5.929419,0.406848
34,6.189174,6.531479,-0.342305
35,6.287829,6.414973,-0.127144
36,6.022986,6.372912,-0.349926
37,6.393411,6.384891,0.008521
38,5.899007,6.325844,-0.426837
39,7.424516,7.000000,0.424516
40,6.540755,6.875061,-0.334306
41,6.579770,6.835056,-0.255286
42,6.738929,7.079181,-0.340252
43,5.330882,4.072985,1.257897
44,5.541695,5.113943,0.427752
45,4.080652,5.096910,-1.016258
46,5.254402,5.342423,-0.088021
47,6.042056,6.240549,-0.198493
48,4.330830,5.278754,-0.947924
50,5.441942,5.023541,0.418402
52,6.145598,6.361728,-0.216130
53,6.140701,6.602060,-0.461359
54,5.701960,6.649335,-0.947375
55,6.140696,6.041393,0.099304
56,5.508098,5.901295,-0.393196
57,5.245962,6.447158,-1.201196
58,5.849496,4.681241,1.168254
60,4.748013,4.992819,-0.244806
61,4.078400,3.204120,0.874280
62,6.043626,6.875061,-0.831436
63,6.576891,6.890980,-0.314089
64,6.183240,6.000000,0.183240
66,5.854809,6.397940,-0.543131
67,6.200375,6.447158,-0.246783
68,5.504539,7.267172,-1.762633
71,4.034290,4.127105,-0.092815
72,5.915378,6.000000,-0.084622
74,6.143460,6.024046,0.119413
75,2.619547,3.645422,-1.025875
77,2.619543,2.875061,-0.255518
78,3.730658,3.301030,0.429628
79,3.976591,3.313867,0.662724
80,4.429418,5.905796,-1.476377
81,4.164575,2.698970,1.465605
82,3.534684,4.146128,-0.611444
83,3.293471,3.243038,0.050433
84,3.913953,2.653213,1.260740
85,4.255202,2.108903,2.146298
86,4.086061,3.778151,0.307910
87,4.086059,3.301030,0.785029
88,4.332346,3.000000,1.332346
89,4.431364,4.431364,0.000000
90,4.026679,4.423246,-0.396567
91,4.471958,4.431364,0.040594
92,4.297983,5.544068,-1.246085
93,4.143527,3.000000,1.143527
94,4.489093,3.158362,1.330730
95,3.821285,2.740363,1.080922
96,3.793254,3.623249,0.170005
97,5.974959,5.375093,0.599866
98,6.295796,6.361728,-0.065932
100,6.807268,6.477121,0.330147
101,6.305143,7.021189,-0.716047
102,5.408336,3.413300,1.995036
103,5.259518,4.260071,0.999446
104,6.166866,6.000000,0.166866
105,6.095531,6.740363,-0.644831
106,6.422275,6.099232,0.323044
107,6.228718,6.431364,-0.202646
108,5.767022,4.646404,1.120618
110,6.315902,6.431364,-0.115462
111,6.182354,6.192584,-0.010230
112,6.061014,6.238046,-0.177032
113,6.111972,6.950851,-0.838880
114,6.231943,4.819544,1.412399
115,5.539331,4.716504,0.822827
116,6.107071,6.612784,-0.505713
117,6.013716,5.716003,0.297712
118,6.175203,6.397940,-0.222737
119,5.525277,6.077259,-0.551982
120,6.127045,6.614897,-0.487853
121,5.313542,5.009026,0.304516
122,5.474462,5.373831,0.100631
125,6.086996,6.466868,-0.379872
126,6.502389,5.188084,1.314305
127,6.079213,6.079181,0.000032
128,5.734323,6.146128,-0.411805
129,5.932837,5.326336,0.606501
130,5.763696,6.768638,-1.004942
131,6.009983,5.485721,0.524261
132,6.139911,5.507073,0.632838
133,5.394633,5.083610,0.311023
134,6.228015,6.156852,0.071163
136,7.369099,7.252853,0.116246
137,6.596810,6.301030,0.295780
138,5.744041,6.477121,-0.733080
139,6.080161,6.361728,-0.281567
140,5.765610,6.079181,-0.313571
141,5.319884,4.396199,0.923685
142,5.936113,6.147058,-0.210945
143,6.107013,5.195457,0.911556
144,6.166715,5.643551,0.523164
145,5.498907,6.016197,-0.517290
146,6.335634,6.079181,0.256452
147,5.834522,6.146128,-0.311606
148,5.470872,6.000000,-0.529128
149,4.085174,4.113943,-0.028769
